node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
178,20160700_P15_9,0.0421686746988,0.00159264106143,2.620408510930721e-08,7,7
177,20160700_P15_8,0.00602409638554,0.0,0.010620205602399785,1,7
176,20160700_P15_5,0.0481927710843,0.00324292632585,1.5013289648040992e-08,8,7
175,20160700_P15_3,0.0722891566265,0.0276484498252,7.441466360701873e-08,12,7
174,20160700_P15_2,0.00602409638554,0.0,8.360705410879841e-10,1,7
173,20120800_E1X_7,,,,,7
172,20110600_P1M_17,0.114457831325,0.0397074473554,0.3088674995359588,19,7
171,20120500_P36_3,,,,,7
170,20120500_P36_7,,,,,7
182,20120600_P2S_3,0.0240963855422,0.0064870990456,-3.213806283498994e-17,4,7
183,20110600_P1D_5,,,,,7
180,20120600_P2S_4,0.10843373494,0.0180843533647,-2.355856793541844e-16,18,7
2,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.50_91.45_2.99,,,,,7
186,20160700_P15_25,0.0301204819277,1.94718267007e-05,5.329198297237485e-08,5,7
187,20160700_P15_24,,,,,7
184,20110600_P3S_5,,,,,7
185,20110600_P3S_9,,,,,7
188,20120700_P3D_14,,,,,7
189,20110800_P3M_11,,,,,7
11,20170700_P34_4,0.0481927710843,0.127197273944,2.5534151842936143e-05,8,7
10,3300037076_9,,,,,7
13,20120700_P2D_11,0.0722891566265,0.0184745070031,3.170568313540669e-08,12,7
12,20120700_P2D_10,,,,,7
15,20110800_P1D_22,0.00602409638554,0.0,0.00024415237144505096,1,7
14,20110800_P1D_21,,,,,7
17,20110800_P1D_29,,,,,7
16,20110800_P1D_24,,,,,7
19,3300037222_12,,,,,7
18,PLYZ01,,,,,7
322,20130700_C2M_2,0.0301204819277,2.18433953374e-05,-1.0281006431344575e-16,5,7
323,PMOL01,,,,,7
320,20150700_P11_4,0.00602409638554,0.0,2.718092215011706e-08,1,7
321,Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.54_94.98_2.76,,,,,7
326,20170700_S24_5,,,,,7
327,20110800_P3S_8,0.078313253012,0.0517159803619,-2.6150018673307254e-17,13,7
324,PKYA01,,,,,7
325,20120600_P1M_1,,,,,7
328,20110800_P3S_9,,,,,7
329,PNBE01,,,,,7
201,20110800_E2D_6,,,,,7
200,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.298_98.43_2.66,,,,,7
203,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.158_96.58_0.85,,,,,7
202,PMSV01,,,,,7
205,20160700_S23_14,0.0180722891566,0.0,5.785588918423048e-09,3,7
204,20160700_S23_17,0.0180722891566,0.00744101948921,3.827388912399118e-08,3,7
207,20110800_P3M_3,0.0180722891566,0.0,1.3790393016491605e-05,3,7
206,20160700_S23_13,0.0240963855422,0.000561520646406,5.888409726409912e-09,4,7
209,3300037076_21,,,,,7
208,20111000_P3M_11,,,,,7
77,20120700_P3S_2,0.0722891566265,0.00877299344507,-1.3531072359623304e-17,12,7
76,20120700_P3S_1,0.0963855421687,0.0106534128105,1.1595900706152756e-17,16,7
75,PMWT01,,,,,7
74,20110600_P3S_13,,,,,7
73,20111000_P2S_1,0.078313253012,0.00393167597798,-1.6390283616955457e-16,13,7
72,PLNE01,,,,,7
71,Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.56_91.47_0.17,,,,,7
70,Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00,,,,,7
79,20111000_P2M_2,,,,,7
78,20170700_S35_7,,,,,7
8,3300037076_8,,,,,7
120,20111000_P2D_4,,,,,7
121,20110700_P2S_7,,,,,7
122,3300037076_10,,,,,7
123,3300037076_11,,,,,7
124,20110800_P2D_12,,,,,7
125,20110700_P2D_30,0.0421686746988,0.000863424972596,0.1115907717537553,7,7
126,20110700_P2D_37,0.00602409638554,0.0,3.3784344420565573e-09,1,7
127,3300038478_6,0.0120481927711,0.0,9.041868777633047e-19,2,7
128,3300037139_5,0.0180722891566,0.000378802366754,2.7437376604886534e-09,3,7
129,20120700_P3D_148,,,,,7
414,20111000_P3M_39,,,,,7
415,PMTF01,0.0722891566265,0.00686076021877,0.1746028868302799,12,7
416,20110700_P1D_6,,,,,7
417,20120700_P3D_61,,,,,7
410,20120500_P26_8,,,,,7
411,20111000_P3M_32,0.102409638554,0.00479640165715,0.28991562579523666,17,7
412,20120500_P26_5,,,,,7
413,20120500_P13_5,,,,,7
418,20110700_P1D_2,,,,,7
419,Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19,,,,,7
319,20150700_P11_6,,,,,7
318,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.247_71.06_5.63,,,,,7
313,20110600_P1M_23,0.0602409638554,0.00776304003232,0.1302979345390332,10,7
312,20110600_P1M_20,,,,,7
311,20110800_E3D_18,,,,,7
310,20110800_P1M_19,,,,,7
317,20120700_P3D_47,,,,,7
316,20150700_P24_7,0.0301204819277,0.000713984760706,1.4960250592170537e-08,5,7
315,PLCS01,,,,,7
314,20110800_S2M_3,,,,,7
3,20170700_P34_5,0.0361445783133,0.0307581842522,6.529970008376194e-05,6,7
368,3300036901_8,0.0240963855422,0.00118550150627,-1.0168235547663438e-18,4,7
369,Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.31_72.28_6.84,,,,,7
366,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.15_88.82_6.04,,,,,7
367,20120600_P2M_10,,,,,7
364,20130700_C2Y_6,,,,,7
365,20130700_P1Y_3,0.0180722891566,0.0,5.034637058201502e-09,3,7
362,20130700_P1Y_8,,,,,7
363,20130700_P1Y_5,,,,,7
360,20120700_P3D_129,,,,,7
361,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56,,,,,7
380,3300037316_8,,,,,7
381,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.196_83.72_2.78,,,,,7
382,Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.10_90.51_2.85,,,,,7
383,20120500_P32_4,0.00602409638554,0.0,0.00024415237144505443,1,7
384,3300037147_7,,,,,7
385,20130700_S2Y_8,,,,,7
386,20120500_P15_4,,,,,7
387,PLBP01,,,,,7
388,20111000_P3M_43,,,,,7
389,20111000_P3M_40,,,,,7
60,20120700_P3D_93,,,,,7
61,20120700_P3D_92,,,,,7
258,20111000_P1S_5,0.0361445783133,0.0104629149682,-6.34591319826135e-17,6,7
259,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.30_89.06_2.80,,,,,7
64,20111000_P3M_7,0.0481927710843,8.11326112531e-06,0.17225338403632912,8,7
65,20120700_P3D_100,,,,,7
66,Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.94_89.19_4.42,,,,,7
67,20120700_P3D_105,,,,,7
252,Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.52_71.83_0.86,,,,,7
69,20120700_P3D_108,,,,,7
250,Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.65_73.50_0.43,0.00602409638554,0.0,-1.929618000173678e-17,1,7
251,20150700_P14_8,,,,,7
256,20111000_P1S_1,0.0542168674699,0.00132366193694,-1.417656096127964e-16,9,7
257,20111000_P1S_2,0.0542168674699,0.0021769218967,-1.258227013817497e-16,9,7
254,20150700_P14_7,,,,,7
255,20150700_P14_4,,,,,7
469,20120500_P13_9,0.00602409638554,0.0,0.02208754645486373,1,7
468,20120800_P2D_5,0.0301204819277,0.0,0.1169907478540756,5,7
465,20120700_S1D_69,,,,,7
464,Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88,,,,,7
467,20120800_P2D_2,,,,,7
466,PLBY01,,,,,7
461,Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23,,,,,7
460,20110600_P3S_4,,,,,7
463,20120500_P14_1,,,,,7
462,3300037155_22,,,,,7
168,20120700_P3D_1,,,,,7
169,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.296_95.83_0.00,0.0421686746988,0.00283686294597,2.8354336670752624e-17,7,7
164,20110800_P1D_14,,,,,7
165,20120700_P3D_5,,,,,7
166,20110800_P1D_16,,,,,7
167,20110800_P1D_10,,,,,7
160,20150700_P14_12,,,,,7
161,20110800_P1D_18,,,,,7
162,20120700_P3D_9,,,,,7
163,20120700_P3D_7,,,,,7
9,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29,,,,,7
357,20110800_P1M_9,0.066265060241,0.00011658151522,0.2347313893904162,11,7
356,20110800_P1M_8,,,,,7
355,20110700_P1S_2,0.00602409638554,0.0,-5.8413398264857125e-18,1,7
354,20150700_P31_7,,,,,7
353,20150700_P31_3,,,,,7
352,PMLV01,,,,,7
351,20110700_P2D_11,,,,,7
350,20120800_S3X_7,,,,,7
359,20120700_P3D_128,,,,,7
358,20110800_P1M_5,,,,,7
216,20110800_P2D_10,0.00602409638554,0.0,0.018397397378191516,1,7
217,20120700_P3D_84,0.078313253012,0.00673231503991,0.19197050030340454,13,7
214,20110800_P2D_17,0.0903614457831,0.00743102703006,0.2631944652046887,15,7
