,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
40,-1,-0.9564,0.7608,-0.468,0.9476,0.999,-0.338,-0.9454,0.4578,0.9794,-1,-0.7478,-0.8484,0.8806,-1,-1,0.4276,0.9152,0.9466,0.999,-0.9318,-0.6522,-1,-0.4184,-0.6884,0.7122,0.2324,-0.7896,-0.0438,0.2588,-0.2588,-0.241,0.9122,0.945,-1,0.9952,-0.3398,0.7848,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-0.9884,-1,-1,-0.9096,-1,-1,-0.9796,-0.8928,-0.815,-1,-1,-0.6662,-0.9976,-1,-0.9564,-0.999,-1,-0.8706,-1,0.454,-0.9202,-0.7544,-1,-0.9802,-0.9258,-0.63,0.0700000000000001,-0.7962,-0.864,-0.6054,-0.1686,-0.8634,-0.5552,-1,-1,0.9558,-0.8362,0.7378,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,-0.9784,0.7506,-0.4988,0.9474,0.9944,-0.813,-0.485,-0.5082,0.9776,-1,-0.5864,-0.8294,0.5614,-1,-1,-0.2738,0.777,0.835,0.994,-0.8486,-0.6166,-1,-1,-0.8524,0.0304,0.3204,-0.9284,-0.517,0.0766,-0.3368,-0.7536,0.727,0.9708,0.8166,0.9962,-0.6746,0.9384,0.9998,-0.9712,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-1,-0.9582,-0.1426,-0.3246,0.9636,0.9882,-1,-0.493,-0.2286,0.946,1,-0.5066,-0.6264,0.4106,-1,-1,-0.4406,0.9022,0.9474,0.9964,-0.9786,-0.6374,-1,-1,-0.7556,0.4548,0.2836,-0.72,-0.531,0.2724,-0.3058,-0.565,0.8344,0.8816,-1,0.9984,-0.5136,0.7736,1,-0.809,-1,-0.9654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,-0.9954,-0.1874,0.9338,-0.5694,0.6916,0.5918,-0.6436,-0.8676,0.8214,-0.3266,-1,-0.1206,-0.9114,0.317,-0.2384,-1,0.454,-0.0846,0.4024,0.8868,-0.9272,0.0984,-1,-0.7008,-0.538,0.4476,0.726,0.3972,-0.1414,0.1558,0.7362,-0.4418,0.395,-0.5152,-1,0.998,-0.4724,0.97,0.9894,-0.7366,-0.9182,-0.3472,0.2898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-1,0.9952,0.9856,0.5572,0.993,0.904,-0.7406,-0.97,0.9314,0.9014,-1,-0.2054,-0.7078,0.9814,0.9306,-1,0.9982,0.721,0.7676,0.9862,0.3042,0.968,-1,-1,-0.238,0.9528,0.9982,0.9982,0.0728,0.9656,0.9912,0.4626,0.2032,0.5894,0.5648,1,-0.95,0.9894,0.9986,0.9942,-1,0.9898,0.998,-0.9206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-1,0.8566,0.9998,0.1452,0.9936,0.9974,-0.646,-0.698,-0.2066,0.9686,1,-0.974,-1,0.9084,-1,-1,0.9032,0.2436,0.4918,0.987,0.8788,0.9884,-1,-1,-1,-1,1,0.8292,-1,0.884,0.9996,-1,0.473,0.874,1,0.998,-1,1,1,0.9418,-1,0.9436,0.8366,-0.807,0.6296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,-0.8488,-1,-1,-1,-1,0.3566,-0.8978,-0.6678,-1,-1,-1,-0.5106,-0.8784,-1,-1,-0.7718,-1,-0.241,-0.1874,0.4872,-0.695,-1,-0.8382,-0.9456,-0.8918,-0.2306,-0.3574,-1,-0.2928,-0.7772,-0.4996,-0.8898,-0.3762,-1,-1,-1,-0.9396,-1,0.7854,-1,-0.9016,-1,-1,-0.5244,0.2164,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,-1,-0.9086,0.9886,-0.7644,0.9402,0.9858,-0.9302,-0.8272,-0.475,0.9636,-1,-0.8676,-0.817,0.6266,-0.9522,-1,-0.0202,0.3398,0.6242,0.9708,-0.3046,-0.9106,-1,-1,-1,0.5828,0.6104,-0.9692,-0.5784,-0.0978,-0.2158,-0.511,-0.297,0.9658,0.4664,0.9986,-0.7944,0.7324,1,-0.6358,-0.3368,-0.2814,-0.62,0.4994,0.9772,0.9984,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,-1,-0.9034,-0.315,0.0582,0.974,0.9336,-0.4424,0.2844,-0.9718,0.9104,-1,-0.4034,-0.6998,-0.1374,-0.8148,-1,-0.7696,0.5586,0.6768,0.9642,-0.9266,-0.5762,-1,-1,-1,0.0746,0.5754,-0.8322,-0.9186,-0.037,-0.3272,-0.8904,0.2022,0.8826,-1,0.9996,-0.3642,0.8156,1,-0.3494,-0.9168,-0.8444,-0.8962,0.5128,0.9738,0.7572,-1,-0.5394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-1,-0.997,0.9824,-0.6268,0.9118,0.8978,-0.9756,-0.8738,-0.9776,0.7588,-1,-0.8606,-0.766,-0.4252,-1,-1,-0.9294,0.3902,0.5554,0.9434,-0.4734,-0.7184,-1,-1,-1,-0.825,0.7084,-0.8814,-1,0.2332,-0.319,-0.754,-0.0134,0.9346,-1,0.999,-0.7456,0.8424,1,-0.8662,-1,-0.7114,-0.9934,-0.943,0.825,0.9954,-1,-0.8398,-0.8102,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-1,-0.9024,-0.555,-0.5686,0.0875999999999999,0.949,-0.729,-0.1598,-0.5856,0.7482,-1,-0.026,-0.9684,-0.5678,-0.992,-1,-0.8958,0.5738,0.8382,0.9864,-0.9804,-0.887,-1,-0.9762,-0.959,0.141,-0.2424,-0.9248,-0.5344,-0.6612,-0.477,-0.9274,0.5504,0.6934,-1,0.999,-0.7418,0.6626,0.9992,-0.931,-1,-0.9922,-0.9162,0.2634,0.9864,-0.1684,-1,-0.933,-0.9428,-0.9656,NA,NA,NA,NA,NA,NA,NA,NA
52,-0.9808,-0.3578,0.8482,-0.0427999999999999,0.8482,0.8754,-0.6822,0.1884,-0.9912,0.829,-1,-0.3994,-0.745,-0.7488,-0.9108,-1,-0.9624,0.5942,0.6892,0.9394,-0.9146,-0.1644,-1,-1,-1,-0.408,0.5548,-0.5402,-0.995,-0.2886,-0.0116000000000001,-0.8798,0.149,0.7436,-1,0.9996,-0.4738,0.9484,0.9988,-0.048,-0.8728,-0.6692,-0.7042,-0.069,0.9454,0.3134,-1,0.02,-0.9098,-0.9594,-0.9576,NA,NA,NA,NA,NA,NA,NA
53,-0.997,-0.3196,0.9122,-0.3346,0.72,0.4256,-0.9478,-0.5276,-0.0358000000000001,0.0287999999999999,-1,-0.5796,-0.9588,0.2032,-0.5064,-0.9976,0.1508,-0.1934,0.03,0.5566,-0.7624,-0.1416,-1,-0.9682,-0.805,-0.553,0.7768,-0.082,-0.9204,0.2056,0.645,-0.6544,-0.535,-0.3848,-1,0.9996,-0.8492,0.9266,0.9556,-0.5248,-0.9796,-0.6564,-0.1672,-0.9854,-1,-1,-0.507,0.333,-0.295,-1,-0.4022,-0.9774,NA,NA,NA,NA,NA,NA
54,-0.8924,0.0174000000000001,0.9362,-0.9376,0.5058,0.9304,-0.6992,-0.8794,0.1348,0.5156,-1,-0.678,-0.9978,0.3784,-0.6522,-1,0.4926,0.7764,0.8218,0.9786,-0.9832,-0.138,-1,-0.6536,-0.7504,0.2746,0.6494,0.1894,-0.4464,-0.495,0.2552,-0.72,0.525,0.0246,-1,0.986,-0.7244,0.9492,0.9994,-0.577,-1,-0.425,0.0868,-0.8778,0.5594,-0.3226,-1,0.2878,0.1064,-0.7522,-0.2098,-0.405,-0.8222,NA,NA,NA,NA,NA
55,-1,-0.1766,0.9768,-0.443,0.775,0.9936,-0.5042,-0.4998,0.18,0.5222,-1,-0.5026,-0.931,0.6094,-1,-1,0.589,0.8968,0.9398,0.9972,-0.9792,-0.2546,-1,-0.5892,-0.8238,0.4124,0.7354,-0.1258,-0.3768,-0.4344,0.247,-0.5826,0.7468,0.7124,-1,0.9972,-0.5518,0.982,1,-0.0456,-1,-0.1196,0.3178,-0.5306,0.8952,-0.5704,-1,0.3756,0.2056,-0.3778,-0.5892,-0.2868,-0.7422,-0.9798,NA,NA,NA,NA
56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8968,-1,-1,-1,-1,-1,-1,-1,-0.4924,-1,-0.9992,-1,-1,-0.6914,0.0875999999999999,-1,-1,-0.4268,-0.1464,-0.7744,-1,-1,-1,-1,-0.8524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7066,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA
57,-0.879,-0.9926,0.127,-0.9834,-1,0.6692,-0.8606,-0.287,-0.8976,0.1766,-1,0.1934,-0.7704,-0.7078,-0.9626,-1,-0.7032,-0.1252,0.3394,0.8804,-0.9936,-0.9826,-0.9634,-0.9374,-0.873,0.2376,-0.6512,-0.977,-0.441,-0.9588,-0.7362,-0.9012,0.638,-0.832,-1,0.8948,-0.1382,0.1678,0.9792,-0.873,-0.9356,-0.846,-0.586,-0.1768,0.615,-0.4588,-1,-0.976,-0.8836,-0.8336,-0.9816,-0.9432,-0.8028,-0.966,-0.966,-1,NA,NA
58,-0.9766,0.3634,0.7326,-0.1858,0.74,-0.014,-0.8686,-0.104,-0.9692,0.835,-1,-0.6476,-0.8886,-0.984,-0.2804,-1,-0.9532,0.1048,0.1878,0.5264,-0.7944,0.163,-1,-0.978,-0.9982,-0.5896,0.5824,0.475,-0.9978,-0.2656,0.0853999999999999,-0.9358,-0.2,-0.2292,0.4594,0.9996,-0.6954,0.931,0.8336,0.4602,-0.9342,-0.351,-0.2524,-0.00919999999999999,0.695,0.4398,-0.6992,0.1446,-0.8858,-0.8874,-0.221,-0.9996,-0.8244,-0.249,0.2134,-1,-0.8744,NA
