,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
39,0.4126,-0.8592,0.8078,-0.7266,-0.9472,0.2132,-0.2736,-0.9532,0.6026,-0.2254,-0.9546,0.7694,0.3128,-0.9394,0.815,-0.5398,-0.953,-0.9576,0.3702,-0.9472,-0.9164,0.2016,0.2766,0.147,-0.0562,0.342,0.2664,-0.8826,0.749,0.6762,0.374,-0.7908,0.3294,0.53,-0.9336,0.481,0.4182,-0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.9564,-0.338,0.8704,0.3602,-1,0.9852,0.4074,0.0693999999999999,0.9632,0.6418,0.0529999999999999,1,0.9986,0.3984,0.792,-0.4706,-1,0.0600000000000001,0.9902,0.0528,0.291,0.9692,0.9128,0.9192,0.7602,1,0.9992,-0.7418,0.9998,0.9996,0.9998,-0.895,0.9902,0.989,0.3498,0.9992,0.999,0.2104,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.9992,0.109,1,0.6102,-1,1,0.4312,0.3478,0.9928,0.8408,-1,1,1,0.726,1,-0.3246,-1,-1,1,-1,0.7924,0.9984,0.8282,0.8488,0.7328,0.9988,0.9556,0.1836,0.9476,0.8742,0.9954,0.3884,0.6494,0.9112,0.7174,1,0.914,0.3384,-1,0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-0.5776,-0.3958,-0.0148,0.3562,-1,0.5486,-0.4296,-0.5962,-0.2942,-0.3776,-1,0.9954,0.6834,-0.4528,-0.019,-0.8318,-1,-0.5778,-0.1424,-0.5862,-0.7306,0.6774,0.673,0.5894,0.2458,0.7554,0.5958,-0.99,0.9876,0.9812,0.9056,-0.9836,0.7982,0.7788,-0.6198,0.7598,0.8696,-0.5012,-1,-0.941,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-1,-1,-1,-0.77,-1,-1,-1,-0.9694,-1,-1,-1,-1,-1,-0.9746,-1,-1,-1,-0.9676,-1,-0.9678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9534,-1,0.0362,-1,-0.8836,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.9942,-0.4648,1,0.6012,-1,0.996,-0.5352,0.0531999999999999,0.9806,-0.3996,-1,0.9998,0.9998,-1,0.997,-0.1514,-1,-1,0.9996,-1,0.1824,0.995,0.6484,0.607,0.3366,0.9992,0.8936,-0.2316,0.9794,0.96,0.9472,0.2448,0.8396,0.9298,-1,1,0.9578,-1,-1,0.9906,0.9886,0.7754,-1,NA,NA,NA,NA,NA,NA,NA,NA
45,-1,-0.8148,-1,-0.6468,-1,-1,-1,-0.9732,-1,-1,-1,-1,0.4928,-0.97,-1,-1,-1,-1,0.5318,-1,-0.9978,-1,-1,-1,-1,0.5836,0.2008,-0.897,-1,-1,0.5624,-0.8874,-1,-1,-0.9976,-1,-1,-0.973,-1,0.2002,0.5986,-0.7052,-1,-1,NA,NA,NA,NA,NA,NA,NA
46,0.9902,0.3304,0.9746,0.8262,-1,0.993,0.8914,0.4282,1,0.9084,-1,1,1,0.6384,0.9726,0.7842,-1,-1,0.9956,-1,0.4598,0.9998,1,1,1,0.9564,0.9898,-0.2532,1,1,1,0.1488,1,1,-1,0.9972,0.9998,-1,-1,0.8708,1,-0.2282,-1,0.9992,-1,NA,NA,NA,NA,NA,NA
47,-1,-0.8284,-1,-0.9544,-1,-1,-0.7568,-0.9698,-1,-0.6516,-1,-1,0.897,-0.9452,-1,-0.7934,-1,-1,0.5538,-1,-0.8346,0.284,0.347,0.418,0.151,0.486,0.5914,-0.4244,0.4424,-1,0.9474,-0.4802,-1,-1,-0.926,-1,-0.2066,-0.9392,-1,0.6306,0.4816,-0.128,-0.8814,0.5562,-0.9178,-1,NA,NA,NA,NA,NA
48,0.3576,-0.8736,0.7908,-0.7724,-0.9488,0.1796,-0.3296,-0.9532,0.5394,-0.2916,-0.953,0.7184,0.2748,-0.9462,0.7992,-0.5926,-0.9506,-0.9588,0.3464,-0.9518,-0.925,0.174,0.2366,0.1018,-0.0698,0.3094,0.2198,-0.9054,0.6958,0.6174,0.3556,-0.8156,0.3056,0.4682,-0.9492,0.4386,0.3634,-0.9652,-0.951,-0.1582,0.3792,-0.6198,-0.9666,0.3282,-0.9474,0.6244,-0.9442,NA,NA,NA,NA
49,0.9868,-0.5226,1,-0.4936,-1,0.727,0.4498,-1,0.9566,0.8336,-1,0.991,-0.8906,-1,0.9998,-0.8332,-1,-1,1,-1,-1,0.9864,0.9402,0.8454,0.8172,0.9948,0.9156,-0.314,0.9982,0.998,0.9782,0.2716,0.9226,0.9868,-1,0.9998,1,-1,-1,0.9962,0.9974,0.902,-1,0.9864,-1,1,-1,-1,NA,NA,NA
50,0.9596,0.1472,0.9648,0.2264,-1,0.996,-0.0484,0.2852,0.9442,0.6738,-1,1,1,0.622,0.9658,-0.7594,-1,-1,0.9956,-1,0.658,0.9652,0.7582,0.898,0.9698,0.9756,0.9682,-0.094,0.999,0.9966,1,-0.3216,0.9736,0.9398,0.5508,0.9992,0.961,-0.0644,-1,0.9874,0.9776,0.1446,-1,0.9996,0.406,0.996,0.2054,-1,0.9964,NA,NA
51,-0.2608,-0.549,-1,0.2994,-1,0.3528,-0.2116,-0.667,-1,-0.0726,-1,0.9882,0.6452,-0.5798,-1,-0.8304,-1,-1,0.1078,-1,-0.7726,0.501,0.3756,0.2856,-0.143,0.886,0.8002,-0.997,0.9544,0.938,0.9204,-0.9964,0.6622,0.0671999999999999,-0.6708,0.5854,0.7326,-0.6896,-1,-0.961,0.2332,-0.9998,-1,0.6034,-0.787,0.0878000000000001,-0.466,-1,0.466,-0.391,NA
