,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
40,0.0349999999999999,-0.045,-0.9138,-0.5634,-0.1098,-0.6234,-1,-0.1794,-0.5772,-1,-1,-0.75,-0.8802,-1,-0.1022,0.3829,-1,-1,-1,-0.8414,-1,0.3534,-1,-0.606,-1,0.8466,-1,0.0127999999999999,-0.713,-1,-1,0.1312,-0.928,-1,-1,-0.9194,-0.6872,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.5262,0.5684,-0.4592,-1,0.1294,-0.3716,-1,0.3032,0.2946,-1,-0.5452,-0.6122,-1,-0.253,-0.379,0.2704,-0.69,-1,-1,-1,-1,0.8206,-1,0.0204,-1,0.8396,-0.1514,0.7508,-0.9298,0.6964,-1,0.9062,-0.5492,-0.3264,-1,-1,-0.5366,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.2156,-0.4302,-0.8124,-0.7836,-0.619,-0.5386,-0.7892,-0.7188,-0.5844,0.0752999999999999,0.0264,-0.8488,-0.9394,-0.584,-0.307,0.1435,-0.7322,0.0718000000000001,0.0726,0.1444,0.9316,-0.0456,-0.8534,0.0743,-0.8508,0.928,0.5106,-0.5382,-0.7992,0.858,0.8274,-0.4872,-0.8918,0.1272,-0.859,-0.8496,-0.5666,-0.916,-0.8572,-0.8364,-0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.3782,0.0626,-0.5954,-0.7094,0.0107999999999999,-0.122,-0.7038,-0.4864,0.126,0.1405,-0.4374,-0.5232,-0.8102,-0.6596,-0.6594,0.259,-0.7268,0.1362,0.1388,0.2622,-1,-1,-1,0.1531,-1,-1,-1,0.2584,-0.7828,-1,-1,0.4304,-0.5642,-1,-1,-0.741,-0.0564,-0.8024,-1,-0.7924,-0.4934,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,-0.013,-0.2438,-0.6084,-0.4402,-0.293,-0.3402,-1,0.0696000000000001,-0.0881999999999999,-1,-1,-0.8394,-0.8082,-0.9652,-0.3032,0.4857,-0.896,-1,-1,-0.8842,-1,-0.1424,-1,-0.477,-1,-1,-1,0.0274000000000001,-0.8654,-1,-1,0.7016,-0.9766,-1,-1,-1,-0.4756,-1,-1,-0.9024,-0.8734,-1,-0.9322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-1,-1,0.6198,-1,-0.2106,0.8436,-1,0.8012,0.2196,-1,-0.3164,-1,-1,0.7,0.9444,0.893,0.6794,-1,-1,-1,0.6838,0.9922,-1,-1,-1,0.3306,1,0.2576,0.1376,0.9992,1,0.9962,-1,0.8382,-1,-1,0.1836,-1,-1,-1,-0.1732,-1,0.6028,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.2162,-0.5636,-0.8918,-0.5252,-0.526,-0.981,-1,-0.2284,-1,-1,-1,-0.8884,-0.6244,-1,0.3512,0.3849,-0.8122,-1,-1,-1,-1,0.4308,-1,-0.661,-1,-1,-1,-0.6608,-0.379,-1,-1,-1,-0.9752,-1,-1,-0.8788,-0.9604,-0.8196,-1,-0.939,-1,-0.7054,-0.4436,-0.9726,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.404,0.3628,-0.9376,-0.301,0.3536,-0.707,-1,0.0356000000000001,0.0524,-1,-0.313,-0.5332,-0.7034,-0.5196,0.5274,0.5676,-0.527,-1,-1,-0.8276,-1,0.8512,-1,-0.3688,-1,0.9852,-1,0.375,-0.0956,-1,-1,0.5254,-0.8252,-0.1024,-1,-1,-0.7972,-1,-1,-0.9362,-0.945,-1,-0.4984,-0.542,0.157,-0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.8064,0.0264,-1,-1,-0.5354,-0.1744,-1,0.2496,0.537,-1,0.828,-1,-1,-0.3288,0.7154,0.7022,-0.6854,-1,-1,-1,0.9994,0.9988,-1,-1,-1,0.5228,1,0.8786,-0.7598,1,1,0.953,-1,0.9948,-1,-1,-1,-1,-1,-1,-0.915,-1,0.1574,-1,0.7228,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.2103,-0.4858,-0.7814,0.1392,-0.3396,-0.747,-0.7734,-0.4502,-0.35,-0.8628,0.0192000000000001,-0.6212,0.2085,-0.4192,0.4063,0.1412,-0.5976,-0.8538,-0.8624,-0.8992,0.9294,0.6091,0.0744,-0.8592,0.0728,0.9256,0.6806,-0.4382,-0.7106,0.863,0.8492,-0.1478,-0.8212,0.1312,0.0705,0.1436,-0.7734,-0.7782,0.0679000000000001,-0.7866,-0.244,0.0717000000000001,0.1458,-0.6414,0.6224,-0.891,-0.6934,0.4244,NA,NA,NA,NA,NA,NA,NA,NA
50,0.2256,0.0224,-1,-1,-0.4816,-0.9748,-1,0.0249999999999999,-0.1028,-1,0.0458000000000001,-0.901,-1,-0.9168,-0.6178,-0.1324,-0.999,-1,-1,-1,0.9452,0.5948,-1,-0.3366,-1,0.9422,0.9382,0.3392,-0.9942,0.9872,0.9742,0.5462,-0.8626,0.226,-1,-1,-0.9308,-1,-1,-1,-0.7118,-1,-0.7374,-0.9786,0.1816,-1,-0.7664,-0.6358,-1,NA,NA,NA,NA,NA,NA,NA
51,0.5325,0.22,-0.6478,-0.5716,0.0975999999999999,0.0306,-1,-0.1994,0.1622,-0.5932,-0.542,-0.5084,-0.6992,-0.641,-0.832,0.3909,-0.6086,-0.586,-0.6008,-0.2814,-1,-0.0142,-1,-0.5944,-1,-1,-1,0.396,-0.5586,-1,-1,0.6358,-0.567,-0.4166,-1,-0.6174,0.0628,-0.8776,-1,-0.882,-0.5448,-1,-0.9552,-0.9192,0.4166,-0.4076,-0.5382,-1,-0.5892,-0.8272,NA,NA,NA,NA,NA,NA
52,0.7968,0.7102,-0.002,-0.181,0.752,0.5624,-1,0.2768,0.8268,-0.2128,-0.7974,0.0529999999999999,-0.2506,0.131,-0.8858,-0.012,-0.1708,-1,-1,0.0229999999999999,-1,0.804,-1,-0.2082,-1,-1,-1,0.855,-0.6404,-1,-1,0.9632,-0.2106,0.2398,-1,-0.2062,0.5826,-0.7242,-1,-0.427,-0.5244,-1,-0.7398,-0.606,0.1026,-0.1242,0.3334,-0.7378,-0.213,-0.2242,-1,NA,NA,NA,NA,NA
53,0.8944,0.874,0.0124,0.0913999999999999,0.9092,0.6346,-1,0.5658,0.929,-1,0.1588,0.3788,0.0822000000000001,0.421,-0.998,-1,0.00180000000000002,-1,-1,0.0407999999999999,0.9532,0.939,-1,0.0212000000000001,-1,-1,0.9534,0.959,-0.6888,0.993,0.9818,0.9908,-0.0506,0.5602,-1,-0.0358000000000001,0.6472,-1,-1,-0.4866,-0.2032,-1,-0.5666,-0.3712,0.2504,-0.0998,0.4736,-0.6986,-1,-0.8652,-1,-0.8654,NA,NA,NA,NA
54,-0.6072,-0.52,0.14,-0.8588,-0.404,-0.4972,0.1423,-0.6116,-0.036,0.0719000000000001,-0.000800000000000023,-0.6278,-0.7422,-0.1972,0.3851,0.1408,-0.168,0.0732999999999999,0.0709,0.1394,0.9418,0.229,0.0737000000000001,0.0689,0.0722,0.9462,0.8094,-0.2182,-0.1136,0.8594,0.8602,0.3706,0.2728,0.1278,0.0698000000000001,0.1388,-0.4568,0.1378,0.0723,0.2044,-0.0344,0.0784,0.1418,0.2792,0.7516,0.2119,0.3309,0.4856,0.0692999999999999,-0.331,0.2146,0.3956,0.5104,NA,NA,NA
55,0.2091,-0.5042,-0.7456,0.1411,-0.352,-0.6402,-0.7748,-0.4808,-0.1824,-0.8452,0.0138,-0.658,0.2074,-0.3084,0.402,0.1402,-0.3358,-0.852,-0.855,-0.881,0.9438,0.6064,0.0737000000000001,-0.8576,0.0746,0.9358,0.808,-0.4564,-0.423,0.859,0.8526,0.0915999999999999,-0.7936,0.1388,0.0688,0.1451,-0.6472,-0.8086,0.0701000000000001,-0.7172,-0.1666,0.0697000000000001,0.1385,-0.6318,0.7446,-0.8658,-0.5406,0.4772,-0.849,-0.3794,-0.6296,-0.2818,-0.1478,0.0757000000000001,NA,NA
56,0.5226,0.171,-1,-0.5804,0.1714,-0.8994,-1,-0.1644,-0.2102,-1,0.2378,-0.5272,-0.686,-0.9094,-0.5356,-0.4446,-0.9952,-1,-1,-0.5994,0.9044,0.6304,-1,-0.5786,-1,0.957,0.8276,0.2554,-0.9954,0.9672,0.9372,0.2818,-0.8266,0.3454,-1,-0.595,-0.8372,-1,-1,-0.977,-0.437,-1,-0.891,-0.9336,0.419,-0.7932,-0.8816,-0.2426,-1,-0.978,-0.9364,-0.2116,-0.8248,0.2136,-1,NA
