,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
44,-0.2288,-0.8548,1,-1,-0.7504,0.9998,-1,-0.461,0.7282,-0.66,-0.6372,1,-0.2222,-0.3642,0.243,-0.373,-0.9452,1,0.9466,-0.5576,0.4914,1,0.9998,-0.4952,-0.5442,-0.769,-0.4892,-1,-0.874,-0.7268,-1,-1,-0.8064,-0.9666,0.0548,-0.4032,-0.3214,-0.5044,-0.7294,-0.9236,0.8122,-0.8724,-0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-1,1,1,0.8354,1,0.9896,0.8398,1,1,-1,1,1,-1,1,0.9998,-1,1,1,1,1,-1,1,1,1,0.9968,0.9998,1,-1,1,1,0.8312,0.8448,0.9974,1,-1,0.9992,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.9648,-0.967,0.997,-1,-0.9828,1,-1,-1,0.976,-0.9806,-1,0.9988,-1,-1,0.6394,-1,-0.9808,0.9872,0.386,-0.992,0.4722,1,0.765,-0.968,-0.9732,-0.983,-1,-1,-0.999,-0.8026,-1,-0.8892,-0.9982,-0.997,-1,-1,0.871,-0.7298,-0.995,-0.3678,0.0558000000000001,-0.9836,-0.997,-0.518,1,NA,NA,NA,NA,NA,NA,NA,NA
47,-1,0.0158,1,-0.6924,-0.5284,1,-1,0.4406,-0.5764,-0.6766,0.1296,0.9994,-1,0.163,0.5512,-1,-0.301,1,0.7032,-0.0748,0.283,1,0.9994,-0.5256,-0.582,-0.424,0.0822000000000001,-1,-0.0914,-0.9988,-0.6888,-0.6772,-0.44,-0.2202,-1,-1,-0.9516,-0.796,-0.186,-0.1712,0.3844,-0.2084,-0.3766,0.5244,1,0.0604,NA,NA,NA,NA,NA,NA,NA
48,-0.9038,-0.9974,0.3474,-0.9264,-0.9886,0.9296,-0.9214,-0.8512,0.3954,-0.99,-0.8358,0.7786,-0.8986,-0.8326,-0.0596,-0.967,-0.9478,0.4838,-0.686,-0.948,-0.6344,0.378,-0.1808,-0.9696,-0.9674,-0.9314,-0.9132,-0.9198,-0.9336,-0.994,-0.9256,-0.9196,-0.8968,-0.9774,-0.8614,-0.9888,0.0678000000000001,-0.934,-0.9296,-0.891,-0.822,-0.9352,-0.9766,-0.7662,0.554,-0.9116,-0.838,NA,NA,NA,NA,NA,NA
49,-1,0.3418,1,0.0504,0.4312,0.8606,0.0511999999999999,0.9732,0.9036,-0.039,0.9092,0.9964,-1,0.825,-0.0548,0.0316000000000001,0.8584,0.9954,0.9766,0.6208,0.8944,1,0.9916,0.389,0.356,0.4758,0.7126,-1,0.8176,0.1028,0.0454000000000001,0.0588,0.4718,0.7374,-1,0.1802,0.6532,0.8264,0.5434,0.3936,0.919,0.877,0.6192,0.9548,1,0.8146,0.8912,0.0451999999999999,NA,NA,NA,NA,NA
50,-1,1,1,0.9686,1,0.9952,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,0.968,0.9642,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0.965,1,NA,NA,NA,NA
51,-1,-0.9852,0.986,-1,-0.9888,0.9996,-1,-1,0.9242,-0.9922,-0.9884,0.9834,-1,-0.9942,0.4314,-1,-0.9892,0.94,0.1112,-0.9926,0.0369999999999999,0.9998,0.4824,-0.9728,-0.986,-1,-0.9966,-1,-0.997,-0.8226,-1,-1,-0.9976,-0.999,-1,-1,0.7592,-0.8554,-0.9954,-0.5862,-0.2614,-0.995,-0.9996,-0.8086,1,-0.9968,-0.2318,-1,0.645,1,NA,NA,NA
52,-1,-0.9876,0.977,-1,-0.9906,0.9986,-1,-1,0.9008,-0.9914,-1,0.9806,-1,-0.9916,0.3088,-1,-0.9976,0.9128,0.044,-0.9946,0.2102,0.9992,0.4608,-0.9744,-1,-1,-0.994,-1,-0.9958,-0.8634,-1,-1,-0.9988,-0.9982,-1,-1,0.7156,-0.8854,-0.999,-0.63,-0.302,-1,-1,-0.7448,1,-0.9964,-0.279,-1,0.6426,1,-0.9978,NA,NA
53,-1,-0.9386,1,-0.3718,-0.71,1,-1,0.778,0.2394,-1,0.6724,1,-1,0.8814,-0.5502,-1,0.1792,1,0.9208,0.1016,0.7712,1,1,-1,-1,0.1804,0.6866,-1,0.6356,-0.0682,-1,-1,0.2736,0.3864,-1,-1,0.8878,-0.0396,0.3932,-0.9688,0.8202,0.3848,-1,0.3058,1,0.7538,0.9286,-1,0.3728,1,0.5028,0.3048,NA
