,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-S,711_P-3-M,711_P-3-D,712_P-1-M,712_P-1-D,712_P-2-M,712_P-2-D,712_P-3-M,712_P-3-D,713_P-1-X1,713_P-3-M,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P3_30-34,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24
711_P-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_10-14,1.06884773534502,-1.59782682743013,-1.17960163412259,1.3336263987872,-1.21288205710431,1.19191016225549,1.06731601528297,-1.84540452112297,-1.1839916073653,0.599439624363929,0.276113552462504,0.953074210983117,-1.10676337689583,-1.48997723721423,1.86263430371411,-0.521589467973666,0.924327105748129,-0.292770681744044,-0.634079724215892,-1.31345719014567,0.014367794860426,-0.948352705203344,-0.797492004468474,-1.56639355554277,1.06731601528297,-1.51777751234254,-1.53098067495845,1.2140589412641,-1.66749873479494,1.06731601528297,-0.314079941324667,-0.29593224615138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_20-24,1.02938441696828,-1.10739552783734,-1.26687233902144,1.56833033131588,1.28478671519361,1.53758750207225,0.862583256920005,0.446151961105264,0.309480477261647,0.667268042819899,1.37922823525475,0.519605160504601,-1.00845546931753,-0.685556879950888,1.8548638021795,-0.453282586708501,-0.293938491373893,0.290051296910408,-0.90471371477404,-1.29300484756496,1.02053460226435,-1.32945915605355,-1.16467667258053,1.45114771259253,0.862583256920005,0.097896417904601,-0.433508915502376,-0.636489254050936,-1.20341826636347,0.862583256920005,1.27660143289455,0.401445252007489,0.0872669299414656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_30-34,1.03123589965051,-1.6402778026031,-1.79285188328514,1.54942512999032,0.405378446526632,-0.550453100247522,0.904889015476838,-1.06383019719908,-1.05493445352248,-0.115964991832347,NA,-0.177898697926072,-0.165544759227359,-1.96589213984131,-0.808976472491428,NA,-1.04863968185506,NA,-1.09643400691074,-1.64508495114557,1.02501170911348,-1.15360255219566,-0.0196034928126916,0.0138382297460736,0.904889015476838,-1.48754193661377,1.55011785128063,-1.13046482464911,-0.255071277034213,0.904889015476838,-0.12864715569064,-0.67967601362966,-1.26274098891331,-0.455006643923672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_1-5,0.906928756592904,-1.03451704618538,-1.25200922322263,1.35229459457232,-1.01178974781664,1.03333723628671,1.12136039284295,-1.6570127985701,-1.04707520877228,0.0391588616910121,0.470953233171805,0.35509377036596,-0.958571615726591,-1.1106606809839,1.77136180997213,-0.293943144835234,0.357031457732977,-0.0871273451883664,-1.07603536682965,-1.81357158234964,0.163691593053919,-1.02125560486373,-0.919889921297503,-1.4849790586786,1.12136039284295,-0.959910845695013,-1.37707755476196,1.23958448319378,-1.54561711061066,1.12136039284295,-0.15445623877988,-0.146480434762247,-0.0732533391947178,0.248295077176163,-1.08817569813192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_10-14,1.02945112157053,-1.54431949369312,-0.612051464147323,0.985105460298064,-1.69516325094351,0.240247293807974,0.704191631728629,-1.78787499395484,-1.83916642056863,0.47585278935322,-0.519798523484127,0.099658612807837,-1.79247830055853,-1.71612959600119,1.02732302554018,-1.08995541939301,-0.240565355063033,-0.940457308871303,0.241510050552208,-0.413528722194617,-1.01390152558695,-0.19606565113034,-0.0707410649061567,-2.23969431645707,0.704191631728629,-2.49672687689577,-1.95819516964519,0.772696015861365,-2.30527239231849,0.704191631728629,-1.13432743505711,-1.12020522575663,-1.30773387617158,-1.1112115101522,-1.66337648984691,-0.989615608809939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_20-24,1.49860105388219,-0.255909842565021,-1.13363282506757,1.89507547154435,1.98524994549434,2.20327119099149,0.975562738418976,0.176313908441546,-0.000966450451109951,1.84805034142401,1.29290282471824,0.80352042156931,-0.627367681580926,-1.14461737512726,1.78012683075561,-0.212877038239353,-0.106327408761154,0.609645171503546,0.666538197201381,-0.786155413638235,0.276696256462984,-1.1900716925259,-0.861327983424305,-0.517716994536137,0.975562738418976,-1.24486677330335,-0.790827231859204,0.223419433518531,-1.06697253617417,0.975562738418976,0.730852359571196,0.668869066824137,1.39995306082451,1.26128507099053,-0.426625339340021,1.87403500780742,-0.750599169220971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_30-34,1.10265952967062,-0.928446715773043,-1.06359613399016,1.48271221969713,0.426354411311778,0.842961623071632,0.774615898803274,0.0716708445803836,-0.123613396466348,0.665058458162554,1.10649979198905,0.457356144181202,-0.255594201564617,-0.845515804625893,1.63207019358608,0.00977446685954604,0.177528995653152,0.131696509612762,0.278963827183592,-0.85315945718234,1.16216575498133,-1.12112488556993,-1.04879688356384,-0.60540521633396,0.774615898803274,-1.01553009235005,-1.62396884989181,0.683772333958976,-0.784394964686183,0.774615898803274,0.640393897177426,1.03828647898219,0.164647210148858,1.23385041298195,-0.757815488657272,0.306423722375369,-1.13279771253493,1.82274909087318,NA,NA,NA,NA,NA,NA,NA,NA,NA
717_P1_10-14,1.39516942735643,-0.227283440196769,-1.19529091750847,1.8584924054495,0.149083296666465,1.91848828186793,1.1453892762091,1.21632398341669,-1.02305009733763,1.8655908703967,0.790168893510438,0.140323042945388,-0.956664632727921,-1.53818897031025,2.29976014256164,-0.31264383915604,0.0798895246638788,0.491995334688363,-0.318011521052199,-1.3577910407984,-1.39040220724538,-0.825595594143819,-0.660628564702071,-0.205957606756421,1.1453892762091,-0.616205714005388,-0.880762341096735,-1.40163746046208,-1.04502473649016,1.1453892762091,0.797327360907765,0.309969399283011,0.775238521204565,0.397986163914227,-0.872457406397213,0.984937333272957,-1.0831345414171,0.578250120761194,0.525798073643476,NA,NA,NA,NA,NA,NA,NA,NA
717_P1_20-24,1.01160319293278,-0.237164465470345,-1.02934207193049,1.33408797374373,1.87512558016736,0.172184399613686,0.648447452479697,0.0518479903438424,1.26927000154416,0.897671726054385,-0.0644687702952652,0.713878533242445,1.96217468905856,-0.500807484987994,-0.0939298677880398,-0.631892354942337,-0.522077754349134,-1.24464436711231,-0.782647106986672,-1.20624966414695,2.16005572640884,-0.401237470814674,0.783148504421224,1.52699075777841,0.648447452479697,-0.514508067578934,-0.3676877554788,0.00368269843664549,1.17662908109854,0.648447452479697,2.03593527939967,0.190068330932967,0.0264915839633062,0.613377359657168,-0.779266275259254,0.219204692480732,-0.85694264717199,0.314252938748068,1.14048546445664,0.141341377544638,NA,NA,NA,NA,NA,NA,NA
717_P2_1-5,NA,0.973070989842028,0.492641821491085,0.979976836637259,0.883255325030129,0.772989327337019,0.979976836637259,1.16169063393962,1.23901796586748,1.006132494155,0.902383121119293,1.14665205944153,1.36550132705175,0.929446365607032,0.894310645840631,0.986228547602046,0.906215563210501,0.73786249530956,0.607339551597077,0.642455199051659,1.17520540155549,1.01347069256883,1.07803033627835,0.918436186698268,0.979976836637259,1.28915193078479,0.945768209023291,1.10105924331401,1.15208594849098,0.979976836637259,1.08614420058088,1.07461210585864,1.06884773534502,1.02938441696828,1.03123589965051,0.906928756592904,1.02945112157053,1.49860105388219,1.10265952967062,1.39516942735643,1.01160319293278,NA,NA,NA,NA,NA,NA
