,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
41,0.6498,0.922,0.3878,0.8106,0.8986,-0.4796,0.8766,0.99,-0.976,0.7776,0.8778,-0.4312,0.8456,0.0626,-0.9908,0.8774,0.3404,-0.9708,0.984,-0.9356,0.9758,0.2166,-0.1814,0.5692,0.3446,0.2832,-0.046,0.4692,0.8954,0.0513999999999999,0.7388,0.3496,0.7308,-0.3788,0.769,0.0660000000000001,-0.5328,0.6754,0.989,0.4922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.9314,1,-1,-0.3008,1,-1,0.9948,1,1,0.988,0.9986,0.9602,0.9882,1,1,-0.1708,1,0.9934,0.9964,0.9892,0.9998,-1,1,0.5952,-0.2424,-0.4892,1,-1,1,1,0.8276,0.7722,0.9998,0.9986,0.9006,0.7826,1,1,1,1,0.8082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-0.7414,0.199,0.3996,0.5796,0.8148,0.972,0.7056,0.9986,1,0.369,0.9948,0.9998,0.618,0.3272,1,0.566,0.6312,0.998,0.9798,0.997,0.998,0.7203,0.9294,-1,0.114,0.9986,0.8148,-0.8614,0.0598000000000001,1,-0.3062,-0.4856,-0.1314,0.665,-0.0684,0.1368,1,1,-0.7864,1,0.9726,0.9754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.7914,1,-1,0.9598,1,0.118,-0.1576,1,1,0.239,1,0.2286,-0.1268,1,1,0.9432,0.9974,0.895,1,0.859,0.8966,-1,1,-0.093,0.5648,1,1,0.5698,0.8932,1,0.565,0.0344,0.9966,0.9998,0.896,0.8014,1,0.7372,0.9988,1,0.034,1,0.7472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.6802,1,-1,0.5192,0.997,-1,-0.6904,1,0.9814,-0.4804,1,0.511,-0.3408,1,0.9464,0.6604,1,0.8458,1,0.3554,-0.000800000000000023,-1,0.5862,-0.8314,0.209,0.9994,1,0.121,1,0.964,0.153,-0.000199999999999978,1,1,0.3916,0.7182,-0.5944,-0.3454,1,1,0.5232,1,1,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.611,1,-1,-0.0506,1,0.7628,0.9232,1,1,0.87,1,0.999,0.9018,0.9344,1,-0.251,1,0.9442,0.9996,0.9008,1,-1,1,-0.5452,0.0266,0.809,0.6726,-1,0.7754,1,0.182,-0.1144,0.792,0.9986,0.736,-0.0966,1,1,0.9838,1,0.825,1,0.8974,1,1,NA,NA,NA,NA,NA,NA,NA,NA
47,0.6708,1,-1,0.8392,1,-1,-0.1184,1,0.9988,-0.6514,1,0.1082,-0.3984,1,0.9502,0.8468,1,0.5202,1,-0.2304,0.941,-1,0.9448,-1,-0.3556,0.9792,1,-0.2442,1,0.9942,0.6408,-0.486,1,1,0.525,0.8928,0.9656,-0.5802,1,1,-0.6278,1,1,1,0.757,1,NA,NA,NA,NA,NA,NA,NA
48,-0.4202,-0.0826,-0.1752,-0.9358,-1,0.527,0.0571999999999999,0.9956,1,-0.0998,-0.5952,0.9874,-0.2452,0.7016,1,-0.9902,0.3952,0.9822,-0.9168,0.7866,0.5476,-1,-0.5398,-0.468,-0.6046,0.2928,0.454,-0.9404,0.7978,0.9614,-0.6528,-0.7852,0.1404,-0.8372,-0.6098,-0.6848,0.9894,0.9966,0.6382,0.8106,0.9594,-1,0.869,0.9884,0.9556,-0.8538,0.997,NA,NA,NA,NA,NA,NA
49,0.7848,1,-1,0.726,1,-1,-0.7322,1,1,-0.3826,1,0.997,-0.7988,1,1,0.4066,1,0.9436,1,0.9608,0.2222,-1,1,-0.5902,0.141,0.998,1,0.3778,1,1,0.0708,-0.583,1,1,0.6438,0.7832,1,1,1,1,0.677,1,1,1,1,1,1,0.804,NA,NA,NA,NA,NA
50,0.5902,1,0.0542,0.4528,0.9998,-0.2046,-0.9216,1,0.9998,-0.5886,1,0.9598,-0.6048,1,0.9614,0.6132,1,0.9658,1,0.9014,-0.6132,0.356,0.9998,-0.8544,-0.0448,1,1,0.1274,1,1,-0.1002,0.346,1,1,0.2726,0.8184,0.9906,0.9954,1,1,0.7994,1,1,0.9992,0.8958,1,1,0.9798,0.9518,NA,NA,NA,NA
51,-0.8834,-0.4726,0.5925,-0.199,0.4246,0.7518,-0.9114,0.3106,0.105,-0.935,0.00299999999999989,0.707,-0.8506,0.3004,-0.0968,-0.6686,0.2168,0.7358,0.0973999999999999,0.7544,0.8178,0.3545,-0.0638,-1,-0.8194,-0.5174,0.134,-0.9676,-0.5492,0.767,-0.93,-0.9456,-0.533,0.1768,-0.8318,-0.9734,-0.3208,0.5836,-0.3478,0.5858,-0.1256,0.9362,-0.882,-0.5756,-0.3342,0.6216,-0.1764,0.1888,0.4512,-0.1226,NA,NA,NA
52,-0.745,0.995,-1,-0.0802,0.992,0.8852,-0.655,0.9424,1,-0.7906,0.8836,1,-0.8256,0.9918,1,-0.1998,1,0.998,0.9624,0.9958,0.9542,-1,1,-0.8938,-0.539,0.9984,0.9988,-1,0.9954,1,-0.8524,-0.9334,0.9464,0.9972,-0.1522,-0.3154,1,1,0.8876,1,0.9916,1,0.9616,0.9996,1,1,1,0.5572,1,1,-0.789,NA,NA
53,0.6386,1,-1,0.9256,1,-1,-0.5602,1,1,0.2128,1,0.5274,-0.4304,1,0.992,0.919,0.9922,0.9988,0.9998,0.9838,-1,-1,1,-0.3688,0.0815999999999999,0.9978,1,0.3914,0.9512,1,0.3808,-0.1168,0.9886,1,0.8244,0.8374,1,0.9054,0.9748,1,0.8766,1,0.5042,0.9028,0.9998,1,1,0.9892,1,0.8298,-0.765,0.995,NA
