,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
34,0.8016,0.9888,0.9788,0.9754,0.9964,0.696,-0.9528,-0.7284,0.9972,0.6788,0.6864,0.4268,0.9044,1,1,-0.256,1,0.9158,0.9996,0.6714,1,0.9936,0.9644,-0.5588,0.6582,0.8656,0.2668,0.9548,0.9944,1,1,0.8194,-0.9982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.3088,0.9478,0.817,0.4454,-0.5156,0.416,-0.9084,0.0618000000000001,0.9838,-0.7648,0.7342,0.0531999999999999,-0.1222,0.9846,0.9872,0.5404,0.8298,0.6502,0.8022,-0.3502,0.8966,0.9524,0.9636,0.575,-0.996,0.8522,0.8858,0.9622,0.9716,0.8796,0.9974,0.7522,0.6164,0.9038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.6294,0.7618,0.2884,0.2554,0.0624,0.2342,-0.9278,-0.1292,0.9346,-0.9264,0.733,-0.4194,-0.2042,0.6294,0.6464,-0.759,0.3564,0.2322,-0.1914,-0.8258,-0.044,0.6318,0.886,0.6602,-0.9218,0.505,0.5632,0.6806,0.4434,0.37,0.9134,-0.195,0.1206,0.6404,-0.6624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-0.3238,0.7806,0.3112,0.563,0.3674,0.0784,-0.5088,0.0226,0.8442,-0.4518,0.7888,-0.8464,0.2356,0.5344,0.5604,-0.0586,0.661,0.156,0.1746,-0.9916,-0.924,0.1626,0.8494,0.4502,-0.174,0.7598,0.7236,0.63,0.3918,0.4396,0.388,0.4238,0.0251999999999999,0.8542,0.1342,-0.6696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-0.9738,-0.562,-0.8726,-0.4896,-0.2326,-0.8192,-0.3926,-0.9796,0.5692,-0.7044,-0.5734,0.1306,-0.6292,0.8102,0.8322,-0.9398,-0.2,-0.783,-0.8394,-0.284,0.1428,-0.8076,0.377,-0.3894,-0.8864,-0.4422,-0.5802,-0.02,0.3572,0.2056,0.8408,-0.9946,-0.1616,0.1342,-0.439,-0.8222,0.3138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-0.9976,0.9534,0.723,0.605,0.9958,0.722,-0.7208,-0.3996,0.9538,0.079,0.5584,-0.7708,-0.6856,0.9974,0.9966,-0.7196,0.9864,0.6984,0.8672,-0.311,0.8586,0.8426,0.9716,0.9754,0.0926,-0.332,0.1094,0.8604,0.9128,0.977,1,-0.3404,0.2192,0.4872,0.5716,-0.0768,0.5794,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,-0.288,1,0.9954,0.9966,0.9994,0.9896,-0.9884,-0.9794,0.9986,0.6164,0.9788,-0.407,0.1222,0.9956,0.9954,-0.972,1,0.9872,0.9488,-0.1286,0.9998,0.7962,0.9998,0.9958,0.2834,0.8946,0.3366,0.9872,1,1,1,-0.0358000000000001,0.6414,0.9978,0.7544,0.056,0.4952,-0.9192,0.3238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.1784,0.6954,0.393,0.7108,0.8984,0.0358000000000001,-0.188,0.00580000000000003,0.8486,0.4376,0.7692,-0.4936,0.5186,0.6702,0.72,-0.028,0.6464,0.0311999999999999,0.3958,-0.9854,-0.7094,-0.1396,0.8348,0.5092,0.6564,0.9206,0.4538,0.4452,0.4012,0.5318,0.4294,0.2208,0.104,0.8572,0.6946,-0.0852000000000001,-0.9378,0.4424,0.1062,0.1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-0.986,0.674,0.2622,0.4642,0.4948,0.521,-0.1386,0.235,0.9524,-0.1754,0.4166,0.5778,-0.9772,0.626,0.656,0.157,0.9148,0.5146,-0.2908,-0.39,0.304,0.4918,0.8794,0.585,-0.0982,-0.9198,-0.494,0.7662,0.3768,0.0418000000000001,0.3434,-0.1258,-0.2304,0.7992,0.267,0.1092,0.4284,-0.6864,-0.915,-0.2982,0.5518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-0.4966,1,0.9998,1,1,1,0.8436,0.7214,1,0.9626,1,0.9378,-1,1,1,0.6744,1,0.9986,1,0.7824,1,0.997,1,1,0.8842,-0.393,0.8116,1,1,1,1,0.000799999999999912,0.9982,1,0.9974,0.9636,0.9962,-0.8632,0.9926,0.9984,0.9904,-0.3858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
