,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
38,-0.9946,-0.9968,-0.9726,-1,-1,-0.7138,-0.9886,-0.9868,-0.5682,0.3224,0.3192,-1,-0.9944,-1,-1,-0.9932,-0.999,-1,-1,-0.8696,-0.9928,-0.7072,-1,0.201,-0.999,-0.9982,-0.9424,-1,-0.3554,-0.9156,-0.9956,-0.2802,0.8438,-1,-0.9534,-0.9694,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-1,0.0628,-0.737,0.9378,0.9994,0.2576,-0.4732,-0.332,0.867,1,0.8928,0.9996,-1,0.8514,0.8518,-0.9644,0.8478,-0.8834,0.8656,1,0.1894,0.6292,0.9956,1,-1,-0.2828,0.7836,0.6982,0.7536,-0.8944,0.3968,0.33,0.9996,1,-0.9662,0.1328,0.9926,-0.9996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,-1,-0.1998,0.5914,0.998,1,0.8738,-0.9506,-0.9634,0.8358,1,0.9802,1,-1,0.94,0.971,-1,0.0138,0.4956,1,1,-0.2654,0.5846,0.9998,1,-0.9762,-1,0.5994,0.9182,0.9728,-1,-0.9996,0.5688,1,1,-0.668,-0.9186,0.9786,-0.975,-0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-0.673,-0.5688,0.7714,1,1,0.7524,-0.9964,-0.9764,0.984,1,0.9952,1,-1,0.992,0.9978,-0.6662,-0.522,0.9368,1,1,-0.204,0.9758,1,1,0.00800000000000001,-0.5268,0.6488,0.9904,0.998,-0.748,-0.9962,0.9638,1,1,-0.0532,-0.271,1,-0.8424,0.8124,0.5794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,0.9432,0.9648,1,1,1,0.4716,0.5128,0.9998,1,1,1,-1,0.9996,1,0.5486,0.9984,0.9928,1,1,0.8482,0.9998,1,1,-1,-0.376,0.997,0.9996,0.9998,-1,-0.3432,1,1,1,0.3856,0.9352,0.9452,-1,0.9978,0.9998,0.9974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-0.997,-0.9496,-0.9824,0.5354,-1,-0.2888,-0.9214,-0.9402,0.1432,-1,0.757,0.5402,-0.976,-1,-1,-0.9552,-0.8716,-0.492,-1,-0.3918,-0.9108,-0.0232,0.7914,-1,-0.9972,-0.9748,-0.6374,-1,0.0895999999999999,-0.9976,-0.9682,0.4168,-1,-1,-0.9024,-0.9758,-1,-0.9646,-0.9656,-0.6462,-0.1052,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,-1,-0.685,0.6504,0.2834,1,0.7252,-1,-0.8266,0.1118,1,0.7454,1,-1,0.8816,0.8966,-0.9968,0.0307999999999999,-0.0446,1,1,0.573,-0.6756,0.9116,1,-0.5186,-0.8692,0.0114000000000001,0.7536,0.8926,-0.9952,-1,-0.954,1,1,-0.466,-0.9624,0.9618,-0.8878,0.7302,-0.1108,0.4244,0.9996,-0.5122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-1,0.9998,1,1,1,1,-0.2118,0.6692,1,1,1,1,-1,1,1,-1,0.9892,1,1,1,0.9958,1,1,1,-1,0.6844,1,1,1,-1,0.6646,1,1,1,-1,0.8822,1,-1,0.9998,1,1,1,-1,0.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-1,1,1,1,1,1,-0.1078,-0.0896,1,1,1,1,-1,1,1,-0.314,1,1,1,-0.8904,0.9336,1,1,1,-0.153,0.069,1,1,1,-0.2742,0.0316000000000001,1,1,1,0.289,0.7692,1,-0.4242,0.7612,1,1,1,-0.1086,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,-0.9952,-0.9958,-0.9862,-0.5788,0.9956,-0.228,-0.9888,-0.9532,-0.9342,1,-0.5248,0.913,-0.7966,0.3738,0.4168,-0.9734,-0.6528,-0.9722,0.3354,0.9854,-0.7144,-0.9932,-0.8434,0.9996,-0.9464,-0.9926,-0.8678,-0.2666,0.1174,-0.9774,-0.9992,-1,0.9924,0.9986,-0.9844,-0.9702,0.7856,-0.885,-0.7474,-0.999,-0.8298,-0.269,-0.9836,-0.9254,0.6128,0.9086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,-1,0.976,1,0.9778,1,1,-1,-0.8682,1,1,0.9986,1,-1,1,1,0.1492,0.8274,1,1,0.9704,0.832,1,0.9636,1,0.308,0.4726,0.9988,1,1,-0.8136,-0.3242,0.9984,1,1,-0.3124,-0.52,1,-0.0814,0.9926,1,1,1,0.4798,0.5888,1,1,-0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
