,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
34,1,0.6656,0.8752,0.9852,0.768,0.9284,1,1,0.865,0.7568,0.428,-1,1,0.1384,0.9454,1,0.9958,-0.427,0.9876,0.9212,0.9548,-1,-1,0.984,0.9476,0.459,0.7464,0.2008,0.311,0.3896,-0.433,-0.7416,0.9806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.9968,0.2702,0.69,0.5898,-0.268,-0.7478,0.961,0.559,-0.8972,0.8804,0.0466,0.0904,0.7846,-0.303,0.7768,0.8036,-0.5858,-0.9174,0.9934,-0.9252,0.3248,0.619,0.6238,0.9408,0.6564,-0.503,-0.0814,-0.7904,0.9138,0.772,0.4316,-0.9966,0.2674,0.3564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9982,0.93,0.5062,0.7618,0.7754,-0.1554,0.9864,0.863,0.6556,0.6338,-0.5492,-1,0.915,-0.304,0.8322,0.8132,0.4962,-0.2724,0.8808,0.1584,-0.384,-1,-1,0.7214,0.7354,-0.6858,-0.999,-1,0.7996,0.6558,0.34,-0.9234,-0.9158,0.8976,-0.2364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,0.9304,0.5872,0.7492,0.7522,-0.1746,0.9906,0.914,0.6302,0.5524,-0.504,-1,0.9024,-0.051,0.6956,0.8088,0.5238,-0.4862,0.8914,0.1748,-0.3754,-1,-1,0.735,0.5624,-0.4522,-0.9894,-1,0.757,0.7226,0.4346,-0.916,-0.979,0.854,-0.1308,-0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.995,0.8176,0.4996,0.6626,0.5316,-0.3274,0.98,0.7852,0.3074,0.3436,-0.3862,-1,0.795,0.3726,0.3432,0.5146,0.247,-0.2988,0.6832,-0.097,-0.2452,-1,-1,0.532,0.2058,-0.366,-0.9296,-1,0.67,0.4226,0.196,-0.6394,-0.7918,0.6006,-0.151,-0.9688,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.5594,0.7106,-0.00380000000000003,0.6072,0.6754,0.0414000000000001,0.7886,0.542,0.3438,0.0354000000000001,0.0692999999999999,-0.9846,0.282,-0.4818,0.2462,0.4514,0.361,-0.6942,0.214,0.193,0.0887,-0.938,-0.9428,0.1474,0.3114,-0.3552,-0.4622,-0.595,-0.0148,0.178,0.0773999999999999,-0.8112,-0.4862,0.5118,-0.2402,-0.5078,-0.5474,-0.7086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,-1,-1,-1,-1,-1,0.104,-1,-1,0.5688,0.0653999999999999,-0.75,-0.9968,-1,-0.2026,-1,-1,-1,0.33,-1,0.2198,0.1712,-0.9984,-0.9768,-1,-1,-0.3212,-1,-0.8826,0.5876,-1,0.4476,-0.298,-1,-1,0.2408,-1,-1,-1,-0.9744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,0.9992,0.9998,0.993,0.9576,0.9992,0.9996,1,0.6774,0.898,-1,0.9844,0.6372,0.9924,0.9998,0.9998,0.7242,1,0.9998,0.9562,-1,-1,0.915,0.9994,0.6398,0.9222,0.5578,0.9952,1,1,0.9108,0.9212,1,0.9914,0.955,0.904,0.6938,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,1,0.9898,1,0.9554,0.8694,0.9928,0.9956,1,0.201,0.9076,-1,0.8192,0.4184,0.9938,1,0.9998,0.815,0.9998,0.9972,0.8416,-1,-1,0.8456,0.9892,0.33,0.89,0.3616,0.9938,0.9998,1,0.6932,0.8056,1,0.9524,0.8814,0.8036,0.668,-1,-1,-0.0908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.9998,1,-0.293,0.9994,0.932,-0.0248,1,0.9156,0.8216,-1,-0.2558,-1,0.3264,-0.6426,0.901,0.9938,0.8038,-0.1404,0.9962,0.6142,0.0668,-1,-1,-0.3064,0.331,-0.987,-0.1666,0.2022,0.902,0.8912,0.6396,-0.5512,0.0828,0.994,0.2108,-0.2802,-0.0998,0.1226,-1,-1,0.819,-0.0679999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
