,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
42,0.953,0.5604,-1,0.9774,-1,0.3736,0.9264,0.6966,0.617,0.8508,0.8612,0.997,0.7914,1,1,0.8484,0.1054,-1,0.158,0.9992,0.9914,0.7428,0.8546,-1,0.0407999999999999,-0.0104,-1,-1,0.7422,-1,0.6318,-1,0.3124,0.9596,0.3208,0.6364,0.9884,0.9482,0.8196,0.7634,0.9612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-0.0178,0.2434,-1,0.9364,-0.697,-1,-0.7592,-0.7148,-1,0.5698,0.9998,0.9998,-0.817,0.995,-1,-0.8852,0.7766,-0.1012,-0.654,0.8626,0.5398,-0.8846,-0.734,-0.8264,-0.6926,-0.9976,-1,-1,0.7444,-1,0.9166,0.3295,-0.8782,-1,-0.9478,-0.9268,1,0.565,-0.7826,-0.8514,0.9254,-0.2206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,-1,0.389,-1,0.919,-0.2682,-0.4492,-0.6624,-0.9936,-0.7644,0.6056,1,1,-0.9408,0.8026,-1,-0.9828,0.9102,0.6108,-0.756,-0.3446,0.4864,-0.973,-0.9844,-1,0.6066,-0.9924,-1,-1,0.9193,0.3618,0.9731,0.3742,-0.3624,0.6392,-0.863,-0.984,0.9996,0.2536,-0.7546,-0.974,0.9774,0.7028,-0.9676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,1,-1,0.1028,0.7952,0.873,1,1,1,-1,0.7398,0.7718,0.9998,0.999,1,1,-1,-1,0.9948,1,1,1,1,-1,0.9998,0.9492,-1,-1,-1,-1,-1,-1,0.9968,1,0.9772,0.9998,0.9988,0.9784,0.993,1,0.9992,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.9016,0.6584,-1,1,-1,0.1922,0.8388,0.2232,-0.3448,0.8567,1,1,-0.6764,1,1,-0.6158,0.9538,-1,0.195,0.9956,0.6186,-0.9972,-0.5246,-1,-0.8888,-0.7622,-1,-1,0.8876,-1,0.9832,0.22,-0.9922,0.996,-1,-0.9432,1,0.8904,-0.2698,0.3458,1,0.6686,-0.9608,-0.9942,1,NA,NA,NA,NA,NA,NA,NA,NA
47,0.9454,0.8456,-1,0.994,-0.3972,-1,0.211,-0.538,-0.7398,0.6451,1,1,-0.995,0.9988,-1,-0.9944,0.9377,0.6537,-0.677,0.9454,0.8244,-0.8308,-0.9786,-1,0.1168,-1,-1,-1,0.9366,0.405,0.9838,0.4091,-0.9388,0.7944,-0.994,-0.9192,1,0.4324,-1,-0.8702,0.9986,0.7442,-0.9298,-0.9996,1,-0.7488,NA,NA,NA,NA,NA,NA,NA
48,1,0.9902,-1,0.9998,0.81,-1,0.898,0.6442,0.8672,-1,1,1,-1,1,1,-1,-1,0.9118,-1,1,1,-1,-1,-1,0.9746,-1,-1,-1,-1,-1,0.8908,-1,0.6872,1,-1,0.223,1,0.293,-1,-1,1,0.9992,0.7342,-1,1,0.9124,-1,NA,NA,NA,NA,NA,NA
49,1,0.8686,-1,1,-1,-1,0.37,-0.9994,0.2108,0.211,1,1,-1,0.9998,1,-0.9984,0.9692,-1,-1,0.9994,0.58,-0.9362,-0.8886,-1,-0.136,-1,-1,-1,0.8648,-1,0.9908,0.578,-0.999,0.9914,-1,-0.965,1,0.7876,-1,-1,1,0.9582,-0.6486,-1,1,-0.6084,-0.9714,0.6394,NA,NA,NA,NA,NA
50,0.9988,0.795,-1,0.9992,-0.476,-1,-0.171,-0.9874,-0.3628,0.6969,1,1,-0.9996,0.997,0.9988,-0.9992,0.9569,0.1488,-1,0.9888,0.4234,-0.9626,-0.972,-1,0.1786,-1,-1,-1,0.9537,0.4341,0.9764,0.4481,-0.9136,0.8812,-0.998,-0.962,1,0.5736,-1,-1,1,0.8894,-0.797,-1,1,-0.7052,-0.9964,-0.0714,-0.999,NA,NA,NA,NA
51,1,0.999,-1,0.8622,-1,-1,1,0.9974,0.9806,-1,0.9984,0.912,0.8608,1,1,0.9398,0.6108,-1,0.9854,0.9708,0.783,0.9242,0.751,-1,0.9964,-1,-1,-1,-1,-1,0.802,-1,0.94,0.9998,0.4616,0.632,1,-0.0262,-1,0.994,0.9008,1,0.9816,-1,1,0.9934,0.9186,1,1,1,NA,NA,NA
52,0.9998,0.9514,-1,1,-1,0.4076,0.999,0.3942,0.5864,0.4676,1,1,-0.2738,1,1,-0.1358,0.9582,-1,0.6098,0.9354,-0.9764,-0.9298,-0.0417999999999999,-1,-0.3624,-0.5288,-1,-1,0.735,-1,0.9894,0.405,-1,1,-1,-0.846,1,0.8396,-0.0452,0.7236,1,0.9834,-0.2716,-0.978,1,-0.2062,0.077,1,0.5228,-0.0864,0.9146,NA,NA
53,0.975,0.8058,-1,0.98,-0.2988,-1,-0.2298,-0.9494,-0.0738,0.5544,0.9998,0.9998,-0.9886,0.988,-1,-0.9954,0.887,0.5656,-0.9796,0.9794,0.8692,-0.6686,-0.93,-1,0.4838,-0.9978,-1,-1,0.8866,0.3356,0.9578,0.334,-0.3524,0.1628,-0.8208,-0.8648,1,0.2288,-0.9958,-0.9958,0.9988,0.8306,-0.7006,-0.995,1,-0.1946,-0.957,-1,-0.9936,-0.9994,0.9866,0.367,NA
