,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
40,-0.9522,0.7732,0.108,0.0790999999999999,0.0244,-0.9486,-0.951,0.9332,0.9209,0.4102,0.0488,0.5499,0.9122,-0.0938,0.2258,0.0518000000000001,0.852,0.258,0.2311,0.692,0.0518000000000001,0.0259,0.8365,0.0537000000000001,0.0727,0.0456000000000001,0.0267999999999999,0.0537000000000001,0.7352,-0.3924,0.0268999999999999,0.0255000000000001,0.0827,0.0247999999999999,0.6705,0.0784,0.3098,0.3634,0.0269999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-0.9468,0.8732,0.1001,0.0799000000000001,0.0266999999999999,-0.9484,-0.9484,0.9352,0.9236,0.4052,0.0551999999999999,0.5563,0.913,0.0224,0.2262,0.0487,0.8512,0.2468,0.2318,0.6805,0.0538000000000001,0.0251999999999999,0.8468,0.0562,0.0791999999999999,0.3412,0.0266999999999999,0.0535000000000001,0.7387,-0.396,0.0265,0.0287999999999999,0.0807,0.0282,0.6738,0.0821000000000001,0.3059,0.3612,0.0249999999999999,-0.9506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-0.946,0.9262,0.1075,0.0779000000000001,0.0266,-0.949,-0.9492,0.9344,0.9267,0.4039,0.0518000000000001,0.5554,0.9728,0.5162,0.2348,0.0503,0.8464,0.2514,0.2332,0.6912,0.0511999999999999,0.0269999999999999,0.8448,0.0503,0.0837000000000001,0.6952,0.0230999999999999,0.0515000000000001,0.7312,-0.3604,0.0261,0.0250999999999999,0.0755999999999999,0.0284,0.664,0.0747,0.3038,0.3559,0.0281,-0.948,-0.9464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.5507,-1,0.5344,0.0302,0.5546,0.5515,0.5489,1,1,0.9034,0.404,0.5412,1,0.9998,0.1832,0.00479999999999992,1,0.1432,-0.4636,0.6612,-1,-1,0.9936,0.4044,0.6006,0.8186,-1,0.2016,0.6398,0.9736,0.5498,-1,-0.2258,-1,0.88,-0.0901999999999999,-0.0978,-0.1578,0.5505,0.5461,0.5443,0.5425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.7368,0.9616,0.9702,0.7668,0.8635,-1,0.735,1,1,0.9998,0.9058,0.5596,0.949,0.9872,0.714,-1,1,0.8514,0.5456,0.8348,-1,-1,0.9888,0.887,0.9822,0.9268,-1,0.8154,-0.9318,1,0.8596,-1,-1,-1,0.9538,-1,0.3524,0.1594,-1,0.7296,0.7302,0.7398,-0.7084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.1091,0.9302,-0.7802,-0.795,-0.9336,0.1027,0.0999000000000001,-1,-1,-0.131,-0.9168,0.00940000000000007,-1,0.195,-0.1296,0.2022,-1,-0.6272,-0.5498,-0.187,-0.7826,0.1018,0.6636,-0.892,-0.8006,0.8388,-0.9498,-0.8948,-1,-0.3324,-0.933,0.1065,-0.7818,-0.8178,-0.4294,-0.974,0.1,0.3306,0.1054,0.1024,0.1087,0.1063,0.171,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.108,-1,-0.7308,-0.8072,0.0996999999999999,0.1056,0.1019,-1,0.7088,-0.2512,0.2037,-0.0546,-1,-1,-0.4664,0.2025,0.7118,-0.4218,-0.4996,-1,-0.862,-0.8632,-1,-0.7712,-0.834,-1,0.1059,-0.895,-1,-0.6318,0.0982000000000001,0.1027,0.2873,0.1016,-0.3876,0.2851,-0.3838,-0.7422,0.1017,0.1039,0.1053,0.0989,-0.2556,-1,0.3586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.11,0.9998,-0.9304,-0.7436,-1,0.1018,0.1012,-1,0.5224,-0.9144,-0.8934,-0.2022,1,0.979,-0.0182,0.2018,0.9712,-0.6778,-0.4764,0.8844,-0.7574,0.1056,0.9806,-0.8708,-0.9972,0.9974,-0.7966,-0.8244,0.8376,-0.9746,-0.939,0.1047,-0.7456,-1,0.7228,-0.5434,0.2508,0.3644,0.0985,0.1057,0.1041,0.1075,0.7864,0.9954,-0.8262,-0.5042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,-0.944,0.927,0.1032,0.081,0.0244,-0.9406,-0.9434,0.9298,0.9252,0.4086,0.0496000000000001,0.5586,0.9518,0.4372,0.2227,0.0542,0.8484,0.2524,0.2294,0.6888,0.0496000000000001,0.0256000000000001,0.8416,0.052,0.0792999999999999,0.6492,0.0248999999999999,0.0501,0.7358,-0.3946,0.0271999999999999,0.0249999999999999,0.0763,0.0262,0.6545,0.0781000000000001,0.3031,0.3611,0.0257000000000001,-0.9498,-0.9448,-0.9512,0.5569,0.7236,0.106,0.1052,0.1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,-0.9538,0.9254,0.0963000000000001,0.081,0.0262,-0.9474,-0.9508,0.9268,0.9216,0.4009,0.0551999999999999,0.5487,0.9986,0.6304,0.2291,0.0518000000000001,0.85,0.2688,0.2335,0.6911,0.0525,0.0266,0.8435,0.0498000000000001,0.0774999999999999,0.743,0.0257000000000001,0.0529999999999999,0.7379,-0.2924,0.0276000000000001,0.0261,0.0793999999999999,0.0235000000000001,0.6617,0.0801000000000001,0.3074,0.3489,0.0242,-0.9508,-0.9482,-0.9496,0.549,0.7328,0.1027,0.0996999999999999,0.0993999999999999,-0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-0.9438,0.8866,0.1036,0.0843,0.0286,-0.9424,-0.9452,0.927,0.9294,0.3981,0.0552999999999999,0.5461,0.9182,0.1418,0.2261,0.0529999999999999,0.857,0.2545,0.2339,0.6936,0.0488999999999999,0.0258,0.8445,0.0543,0.0758000000000001,0.5004,0.0237000000000001,0.0529999999999999,0.7337,-0.3962,0.0253000000000001,0.0254000000000001,0.0791999999999999,0.026,0.6674,0.0806,0.3131,0.3485,0.0256000000000001,-0.9472,-0.9514,-0.9468,0.5541,0.7362,0.1068,0.1024,0.1028,-0.946,-0.9506,NA,NA,NA,NA,NA,NA,NA,NA
51,-0.9492,0.927,0.1054,0.081,0.0247999999999999,-0.954,-0.9444,0.9222,0.9236,0.4004,0.0525,0.5523,0.9808,0.5748,0.2258,0.0503,0.8464,0.2561,0.2302,0.6934,0.0541,0.0286999999999999,0.8419,0.0494000000000001,0.0793999999999999,0.697,0.0266,0.0505,0.7345,-0.3532,0.0285,0.028,0.0783,0.0262,0.6591,0.0802,0.3094,0.3439,0.0258,-0.9438,-0.9474,-0.9468,0.5614,0.7374,0.1026,0.1095,0.1032,-0.9488,-0.9546,-0.9476,NA,NA,NA,NA,NA,NA,NA
52,-0.949,0.9268,0.1071,0.0770999999999999,0.0259,-0.9446,-0.9434,0.9288,0.9291,0.4047,0.0538000000000001,0.554,0.9878,0.5874,0.2394,0.0552999999999999,0.851,0.2546,0.2376,0.6906,0.0487,0.0262,0.8496,0.0542,0.0824,0.7242,0.0268999999999999,0.0512999999999999,0.7363,-0.3312,0.0244,0.0293000000000001,0.0763,0.0262,0.672,0.0855999999999999,0.3051,0.3611,0.0285,-0.9496,-0.9442,-0.9468,0.556,0.7294,0.1029,0.1046,0.1067,-0.9432,-0.9454,-0.9458,-0.9454,NA,NA,NA,NA,NA,NA
53,0.902,0.9724,0.926,-1,-1,-1,-1,1,1,1,-1,0.9402,1,0.9902,0.5266,-1,0.9998,0.6834,-1,0.9932,-1,-1,0.9812,-1,0.9936,0.9994,-1,-1,0.9056,1,0.79,-1,-1,-1,0.7082,0.842,0.9064,0.8622,-1,0.9096,0.9012,-1,-1,0.9462,-1,-1,0.9976,-1,-1,0.8946,-1,-1,NA,NA,NA,NA,NA
54,0.0270999999999999,0.9304,-0.96,-0.8846,-0.9416,0.0263,0.0242,0.3118,-0.5628,-0.9954,-0.9134,-0.888,0.4634,0.1554,-0.7276,0.0518000000000001,0.6578,-0.9378,-0.8668,0.1668,0.0503,0.0267999999999999,0.5894,-0.9046,-0.9974,0.885,0.0254000000000001,-0.9216,-0.2028,-0.9206,-0.952,0.0258,0.0750999999999999,0.0237000000000001,-0.3592,0.0817000000000001,0.3005,0.3566,0.0275000000000001,0.0263,0.0228999999999999,0.0259,0.5505,0.8667,-0.8976,0.1011,-0.9998,0.0237000000000001,0.0246999999999999,0.0249999999999999,0.0232000000000001,0.0261,0.4738,NA,NA,NA,NA
55,0.0261,0.9324,-0.8826,-0.9352,-0.9508,0.0255000000000001,0.0285,0.9306,0.8032,-0.4472,-0.9372,-0.3194,0.9768,0.5454,-0.775,0.0511999999999999,0.8532,-0.8084,-0.8298,0.299,0.0523,0.0256000000000001,0.566,-0.9508,-0.8612,0.8869,0.0266999999999999,-0.9282,0.2072,-0.3526,-0.948,0.0221,0.0805,0.0230999999999999,0.0167999999999999,0.0775999999999999,0.305,0.3614,0.0244,0.0259,0.0266,0.0295000000000001,0.5423,0.8635,-0.902,0.101,-0.8374,0.0274000000000001,0.0275000000000001,0.0246,0.0289999999999999,0.0239,0.8868,-0.946,NA,NA,NA
56,0.0805,0.9448,-0.8414,-0.8658,-0.9532,0.0754999999999999,0.0803,-1,-1,-0.7864,-0.9332,-0.2572,-1,-1,-0.883,-0.829,-1,-0.8216,-0.8634,0.2838,0.1486,0.0787,0.7402,-0.9336,-0.8668,0.9692,0.0765,-0.9186,-1,-0.4106,-0.9566,0.0781000000000001,0.22,0.0783,0.0538000000000001,0.2259,-0.2242,-0.0112,0.0785,0.0745,0.0762,0.0759000000000001,0.5594,0.8662,-0.8498,0.2836,-0.8174,0.0781000000000001,0.0744,0.0769,0.0750999999999999,0.0823,-1,-0.957,-1,NA,NA
57,0.6282,0.5738,0.1376,-1,-0.2528,0.6194,0.6199,0.993,0.9984,0.9686,-1,0.803,1,0.9992,0.5672,0.127,1,0.2868,0.1804,-0.3524,-1,-1,0.9178,-1,0.2496,0.9598,-1,-1,0.3596,0.9238,-0.2534,-1,-0.0586,-1,0.3968,-1,-0.0836,0.1106,-1,0.6211,0.6189,0.6243,0.1434,0.3326,-1,-1,0.5222,0.6187,0.6157,0.6123,0.6236,0.6247,0.6906,-0.244,-1,-0.0682,NA
