,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
44,-1,0.0636000000000001,0.9876,0.9706,0.497,-1,-1,0.8682,1,0.7108,0.8094,0.6626,0.6752,0.0986,0.3282,0.6668,-0.8206,-1,0.7586,0.8926,0.9878,-1,-1,-0.25,0.4718,0.5482,-1,0.6716,0.6502,0.644,0.9764,-0.5842,-0.0556,0.59,0.5444,-0.0742,-1,0.8442,0.5306,0.4868,0.428,0.6432,0.8516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-1,-1,0.9974,0.9474,-1,-1,-1,0.8256,0.9828,0.6826,0.7756,0.1088,0.0760000000000001,-1,-1,0.8274,-0.8928,-1,0.9094,0.9706,0.9414,-1,-1,-1,-1,0.3734,-1,0.7536,0.7786,0.732,0.8376,-0.4496,0.1454,0.5892,0.0147999999999999,-1,-1,0.8626,0.7258,0.2808,0.3976,0.7914,0.3644,0.2934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.5866,-0.9996,-1,-1,-0.9126,-0.5452,-1,-0.6104,-1,-0.1814,-1,-0.785,-0.8134,-0.7964,-0.955,0.2398,0.8125,-0.4588,-0.346,-1,-1,-1,-1,-1,-0.9058,-0.6734,0.1806,-0.2036,-1,0.8038,0.823,-0.0346,-0.4326,-0.38,-0.7578,-0.5418,-0.7762,-0.0642,0.3462,-1,-0.3922,-0.5546,0.632,0.8172,-0.0682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,-0.172,-1,0.973,0.8986,-0.7352,-0.4364,-1,0.231,0.9882,0.1832,0.6812,-0.4462,-0.4844,-0.4902,-0.8962,-0.0142,-0.5452,-0.7082,0.3924,0.829,0.4182,-0.4688,-0.4886,-0.9246,-0.9718,-0.7226,-1,-0.287,0.0206,0.4926,0.817,-0.015,0.1792,0.178,-0.4168,-0.2708,-0.4978,0.5268,-0.0884,0.1978,-0.106,0.4126,0.2888,0.5402,-0.2328,-0.6488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.4852,-1,0.9996,0.9936,-0.5718,0.604,0.6031,0.842,0.7208,0.4078,-0.7632,-0.3178,-0.3396,-0.1614,-0.9276,0.4298,-0.4774,-0.3222,0.9474,0.9274,0.222,0.3647,0.3792,-0.675,-0.9608,-0.7184,-1,0.3092,0.7528,0.464,0.0940000000000001,-0.2848,0.7514,0.5626,-0.2088,-0.1016,0.3635,0.865,0.7904,-0.1712,0.7591,0.9022,-0.6622,0.3528,-0.933,-0.075,-0.5586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,-0.6202,-0.8078,-1,-1,-0.774,0.1559,0.1486,-0.2522,-1,-1,-1,-0.6006,-0.6212,-0.7104,-0.795,-0.8276,-0.696,0.28,-0.223,-1,-1,0.0752999999999999,0.0770999999999999,-0.7952,-0.8322,-0.8066,0.0747,-0.5692,-0.259,-1,-1,-1,0.2235,-0.4008,-0.6254,-0.7846,0.0758000000000001,-0.2408,-1,-1,0.2161,-1,-1,-1,-1,-0.5882,-0.8644,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-0.0387999999999999,-0.6658,0.5218,-1,-0.4138,0.358,0.3686,0.7076,-1,-0.093,-1,-0.3676,-0.3666,-0.3826,-0.597,-0.5326,-0.8526,0.6137,0.73,0.3478,-1,0.2037,0.2087,-0.6534,-0.6092,-0.5582,0.2032,0.0740000000000001,0.687,-1,-1,-0.6384,0.4941,0.1032,-0.2108,-0.4402,0.2,0.4734,-0.3672,-0.648,0.4989,-0.3546,-1,-1,-1,-0.1194,-0.0606,-0.078,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-0.886,-0.5046,0.2414,-1,-0.486,0.1937,-0.759,-0.1358,0.998,-0.747,0.9674,0.0862000000000001,0.0152000000000001,-0.554,-0.4644,-0.2396,0.6036,-0.5902,-0.073,0.2166,0.9954,-1,-1,-0.6516,-0.3912,-0.0552,0.104,-0.5592,-0.1412,0.706,0.9918,-0.3966,-0.8056,-0.765,-0.6116,-0.599,-0.833,-0.6284,-0.052,0.861,-0.8406,-0.3226,0.9374,0.8032,0.801,-0.3482,0.2388,0.6408,-0.5556,0.0968,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,-1,-0.0858,0.8802,-0.3384,0.00279999999999991,-1,-1,0.405,0.9998,-0.4612,0.9504,0.5456,0.4918,-0.368,-0.032,-0.4744,-0.275,0.1918,0.3902,0.6338,0.9994,-1,-1,-0.1662,-0.00939999999999996,0.1618,0.4551,0.2044,0.2184,0.6876,0.9882,-0.2912,-0.5762,-0.3208,0.2222,-0.6732,-1,0.1266,-0.522,0.6596,-0.4202,-0.2574,0.9252,0.5976,0.714,0.3084,0.3486,0.686,-1,-0.363,-1,NA,NA,NA,NA,NA,NA,NA,NA
53,-1,-1,0.99,0.9278,0.586,-1,-1,0.9758,0.9998,0.9306,0.8482,0.9072,0.8932,-0.074,-1,0.8834,-1,-1,0.9904,0.9376,1,-1,-1,-1,-1,0.6798,-1,0.922,0.9414,0.8664,0.979,0.4794,0.2554,0.7922,0.8452,-1,-1,0.9436,0.862,0.855,0.7378,0.8854,0.893,0.644,0.6872,0.6462,0.1706,0.6646,-1,-1,0.9034,0.8498,NA,NA,NA,NA,NA,NA,NA
