,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
37,0.951,-0.1956,0.33,-0.7254,0.8902,-0.968,0.5488,0.629,-0.3306,0.9994,0.9118,0.3776,0.2298,-0.7378,-1,-0.4508,-0.571,0.8728,-1,0.48,0.8,0.8076,-1,-1,0.7898,-0.1034,-1,0.7498,0.9232,-0.00839999999999996,0.9564,0.9922,-1,0.9978,-0.3752,0.9026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.4012,-0.1874,0.0387999999999999,-0.6218,-0.4092,0.4026,0.1524,-0.0494,-0.595,0.9554,0.9768,-0.047,0.5678,-0.7604,-1,-0.7186,0.0795999999999999,0.0302,0.3634,0.2812,0.8832,0.3352,-1,-1,0.6398,-0.8648,-1,0.5978,0.8164,-0.1322,0.9916,0.902,1,0.9796,-0.0824,0.5038,0.6432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-0.7064,-0.4196,0.195,-0.7276,-1,-1,-0.6204,-0.0978,-0.2574,0.817,-1,-0.5964,-1,-1,-0.992,-1,-1,0.102,-0.1632,-1,-0.4846,-0.7552,-0.8666,-0.8376,-1,-0.3426,0.213,-1,-1,-0.678,0.874,0.69,-1,-1,-0.2782,0.5834,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.571,-0.1258,0.5018,-0.0876,-0.8064,0.4314,0.5688,0.3248,-0.5398,0.8948,0.9928,0.4282,0.5338,-0.8438,-1,-0.8352,-0.2102,-0.4356,0.279,0.0167999999999999,0.655,0.5172,-1,-1,0.3552,-0.672,-1,0.2724,0.5632,-0.396,0.9866,0.8706,-1,0.9954,0.5666,0.6494,0.6742,0.138,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.4858,-0.6468,-0.9722,-0.8014,-0.2796,-0.3054,-0.2094,-0.4584,-0.768,0.944,0.6684,0.0127999999999999,-0.0778,-0.6376,-0.61,-0.9836,-0.2816,0.2226,-0.5704,-0.215,0.4168,0.2314,-1,-1,-0.0838,-0.3588,-1,-0.0654,0.2638,-0.3386,0.8492,0.8982,-1,0.9658,-0.4064,-0.0412,-0.7242,-0.1346,-0.617,-0.2196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.4484,-0.0672,0.1996,-0.6856,-0.257,0.441,-0.458,-0.4886,-0.2174,0.4746,0.8686,-0.8754,-0.7368,-0.2406,-1,-0.723,-0.2042,-0.9092,0.2004,-0.2146,0.3506,0.2546,-1,-1,-0.2944,-0.3784,0.00239999999999996,-0.0582,0.2108,-0.647,0.6754,0.5052,-1,-1,-0.9198,-0.444,0.7332,-0.0644,-1,0.3718,0.0247999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.712,0.5326,0.2616,-1,-0.3762,-0.211,-0.051,-0.1832,-0.0834,0.945,0.6342,-0.2866,0.000199999999999978,-0.3486,-1,-0.8042,0.117,0.4704,0.3594,0.304,0.8134,0.4744,-1,-1,0.6136,-0.5298,-1,0.58,0.7756,-0.1918,0.9448,0.9328,1,-0.053,-1,-0.3438,0.6978,0.1546,-1,0.7408,0.1856,-0.3904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.8156,-0.0302,-0.9634,-0.8388,-0.0358000000000001,0.1816,-0.599,-0.4764,-0.5406,0.9344,-0.296,-0.5672,0.1196,-0.1584,0.0580000000000001,-0.9222,0.3536,-0.0610000000000001,-0.3868,-0.00800000000000001,0.5854,0.4088,-1,-1,0.3124,0.093,-1,0.237,0.5184,-0.0502,0.7346,0.864,-1,-1,-1,0.543,0.7784,0.3154,-0.00519999999999998,0.559,-0.3534,-0.2124,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-0.7358,-0.4442,0.1504,-0.5628,0.4702,-0.2102,-0.6738,-0.2006,-0.4144,0.7262,0.625,-0.412,-0.641,-0.2234,-0.8848,-0.4274,-0.086,0.085,-0.3368,-0.636,-0.472,-0.808,-0.857,-0.8386,-0.2756,-0.412,0.1084,-0.4484,-0.3674,-0.6244,0.6427,0.5992,0.9802,0.8,-0.682,0.554,0.3778,0.2106,-0.8608,-0.00819999999999999,-0.2568,-0.2394,0.1818,-0.1354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.7094,-0.3748,-0.8834,-0.4812,-0.979,-0.0244,-0.265,-0.2242,-0.674,0.9502,0.9102,-0.3366,0.4628,-0.5722,-0.2138,-0.9284,-0.4266,0.0533999999999999,-0.1104,0.2194,0.8024,0.5808,-1,-1,0.5034,-0.9776,-1,0.4814,0.7352,-0.2374,0.9384,0.9056,-1,0.9636,-0.0624,-0.6854,0.4372,-0.4412,-1,0.0791999999999999,-0.8356,0.156,0.0628,-0.000800000000000023,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
