,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
39,1,-1,1,-1,1,0.8096,-1,-1,0.9942,-1,1,-1,1,-1,-1,-1,-1,0.8196,-1,0.9094,-1,-1,-1,0.9082,0.9676,0.7936,-1,1,1,0.9578,0.671,1,0.9216,-1,1,0.9956,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.1834,-1,1,0.9744,1,0.6008,-1,0.9632,0.8588,-1,0.9944,-0.02,0.9946,-1,-1,-1,0.8538,0.5182,-1,0.8746,-1,-1,0.8828,0.718,1,0.981,-1,0.9998,0.7222,-0.0944,0.0429999999999999,1,0.3544,-1,1,0.996,-1,-1,0.9764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,0.402,1,-0.1214,1,-0.185,-1,-0.4184,0.999,0.0404,1,0.9638,1,0.4182,-1,-1,0.268,-0.3704,-1,0.4724,-1,-1,0.7134,0.0898000000000001,0.996,0.9354,-1,1,1,0.9724,0.51,1,0.182,-1,1,1,0.6156,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.6842,-0.2676,0.78,0.5404,1,-0.9804,-1,-0.0154,-1,-0.9056,0.8528,-0.5888,0.4094,-0.6592,-1,0.5345,0.4898,-0.7796,-0.078,0.6682,0.5321,-1,0.2262,0.218,0.9508,0.6254,0.5303,0.9882,0.4314,0.2446,-0.6604,0.9892,0.1906,-1,0.9668,0.529,-0.8562,-1,-1,0.9422,0.5332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.9068,-0.9416,0.7862,-0.663,-1,-1,-0.9408,0.3,-1,-0.791,0.9532,0.7702,0.8822,-0.8158,0.0378000000000001,0.0386,0.2069,-0.4718,0.0730999999999999,0.2665,0.038,0.0377000000000001,0.1062,0.3352,-0.6482,-0.3986,0.0356000000000001,0.9576,0.7369,0.5255,0.4428,0.8856,0.2144,0.0354000000000001,0.9598,0.852,0.4907,0.0356000000000001,-1,-1,0.9078,0.3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.2054,-0.9032,-0.2192,-0.5118,-1,-0.9968,-1,0.6662,-1,-0.9986,0.6762,0.246,0.1714,-0.9888,0.2265,0.2198,0.7797,-0.4692,0.397,0.695,0.2237,-1,0.5269,0.9312,0.7308,0.738,0.2197,0.9858,0.6614,-0.02,-0.4708,0.5448,-0.9132,0.2147,0.5548,0.829,-0.8502,-1,-1,-0.0772,0.2726,-0.8184,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.9972,-1,1,0.8414,1,-0.6336,-1,-1,0.652,-1,1,-0.2372,1,-1,-1,-1,-0.0590000000000001,-0.0334,-1,0.3752,-1,-1,0.3976,-0.286,0.9136,0.4232,-1,1,0.9886,0.6178,-0.3756,0.9992,-0.5834,-1,1,0.9992,-1,-1,1,1,0.9622,-0.94,-1,-0.8362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.0556,-0.6774,0.7688,-0.5092,-1,-0.6296,-1,0.7821,0.5032,-0.9484,0.9926,0.2552,0.6206,-0.9444,0.1454,0.1496,0.6347,-0.1488,0.2683,0.4758,0.1471,-1,0.3903,0.8196,0.7416,-0.213,0.152,0.9792,0.4918,-0.1304,-0.573,0.8646,-0.9982,0.1472,0.9966,0.8222,-0.923,-1,-1,-0.4452,-0.2094,0.2228,-0.9442,-0.998,0.3174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.7568,-0.8802,0.3086,-0.8554,0.9202,-0.6054,-0.9672,0.1576,0.9196,-0.8154,0.834,0.5183,0.6584,0.1799,0.0192000000000001,0.0189999999999999,0.1093,-0.6382,0.0382,0.1465,0.0181,0.0177,0.0606,0.1892,0.2761,0.217,0.0176000000000001,0.7862,0.4812,0.3052,0.2528,0.609,0.4558,0.0165,0.8398,0.6177,0.2861,0.0172000000000001,0.9632,0.7364,0.6088,-0.2022,-0.9486,-0.7618,0.4426,-0.7156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,-0.6192,0.9868,0.6968,1,0.9118,0.3581,-0.9994,1,0.4454,1,0.987,1,0.15,-1,-1,-0.7898,0.8956,-1,-0.6134,-1,-1,-1,-0.9988,-0.3724,-0.991,-1,1,0.9998,0.7228,0.5978,1,0.9614,-0.3018,1,1,0.3248,-0.2838,1,1,1,0.9852,-0.5014,0.597,0.9968,0.838,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
