node_id,genome_id
350,20110600_S1D_15
351,20120600_S2M_9
352,20111000_S1D_12
253,20120700_S1D_43
354,20111000_S1D_14
347,PLTT01
355,20120700_S1D_9
39,20170700_S31_5
357,20130700_S2S_8
358,20110800_S1S_8
359,20120600_S1D_7
360,Bog.None.R2.T0.trimmomatic.megahit_bin.75_88.18_7.24
55,20120600_S1D_1
362,Bog.None.R3.T0.JGI.BFC.metaspades_bin.275_96.71_5.17
363,3300037040_8
364,20110800_S3M_18
365,PLXS01
366,20111000_S3S_10
367,20140700_S11_5
368,20140700_S11_7
369,20140700_S11_6
370,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.42_92.00_1.72
106,3300038457_7
372,20120700_S1D_55
373,20120700_S1D_57
374,20120700_S1D_51
375,20120700_S1D_52
376,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.70_95.73_0.85
123,Bog.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.151_70.18_0.00
378,20130700_S2M_1
379,20170700_S33_29
380,20130700_S3M_11
381,20170700_S33_24
382,20110800_S3D_3
383,20170700_S33_23
384,20170700_S33_22
157,20120600_S2D_6
386,20150700_P15_3
387,Bog.None.R3.T0.JGI.BFC.metaspades_bin.148_73.61_7.22
388,PLTZ01
204,20110800_S3D_19
390,20140700_S21_13
391,Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.82_91.99_3.21
392,20111000_S3S_9
393,20170700_E11_1
394,20120600_S3D_7
395,20170700_E11_3
194,20130700_S1X_7
397,Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.5_81.58_0.43
398,20140700_S21_17
399,Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50
400,Bog.None.R2.T0.trimmomatic.megahit_bin.356_99.38_2.70
401,20120700_S1X_15
402,20120700_S1X_12
403,20120700_S3X_18
404,20140700_S15_2
427,20130700_S3Z_1
406,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86
407,20150700_S23_3
408,20150700_S23_2
429,Bog.None.R1.T0.trimmomatic.megahit_bin.27_76.49_0.00
410,20150700_S21_6
411,20150700_S21_2
412,20170700_E15_6
413,20150700_S21_9
305,Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.122_96.77_0.86
415,20130700_S2Y_13
416,3300037196_14
417,20170700_S34_2
327,20110700_S3M_11
419,20110700_S3M_12
420,20110700_S3M_15
421,20110700_S3M_18
422,Bog.None.R2.T0.JGI.BFC.metaspades_bin.302_84.77_4.31
423,20170700_S34_32
424,20170700_S34_36
425,20120600_S3M_3
353,20120500_P26_8
405,Bog.None.R2.T0.JGI.BFC.metaspades_bin.50_93.75_3.45
428,20160700_E21_11
319,20120700_S1D_95
409,Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.122_84.22_0.85
430,20111000_S2M_4
431,20140700_S12_15
