value,Var1,Var2,Depth1,Depth2,Year1,Year2,Habitat1,Habitat2,year_comparison
0.41359632,X711_E.3.S,X712_E.2.M,0-9,0-9,2011,2012,Fen,Fen,between
0.56861962,X711_E.3.S,X712_E.3.S,0-9,0-9,2011,2012,Fen,Fen,between
0.42003851,X711_E.3.S,X712_E.3.M,0-9,0-9,2011,2012,Fen,Fen,between
0.5596353,X711_E.3.S,X713_E.1.S,0-9,0-9,2011,2013,Fen,Fen,between
0.55661818,X711_E.3.S,X713_E.1.M,0-9,0-9,2011,2013,Fen,Fen,between
0.36756503,X711_E.3.S,X713_E.2.S,0-9,0-9,2011,2013,Fen,Fen,between
0.4038922,X711_E.3.S,X713_E.2.M,0-9,0-9,2011,2013,Fen,Fen,between
0.38723554,X711_E.3.S,X713_E.3.S,0-9,0-9,2011,2013,Fen,Fen,between
0.54589217,X711_E.3.S,X713_E.3.M,0-9,0-9,2011,2013,Fen,Fen,between
0.47648729,X711_E.3.S,X714_E1_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.52742074,X711_E.3.S,X714_E1_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.462559,X711_E.3.S,X714_E2_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.68891585,X711_E.3.S,X714_E2_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.48631354,X711_E.3.S,X715_E1_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.24225432,X711_E.3.S,X715_E2_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.532902,X711_E.3.S,X715_E3_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.43688955,X711_E.3.S,X716_E1_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.70131298,X711_E.3.S,X716_E3_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.31804722,X711_E.3.S,X717_E2_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.50690339,X711_E.3.S,X717_E3_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.3860013,X711_E.3.M,X712_E.1.M,0-9,0-9,2011,2012,Fen,Fen,between
0.36237552,X711_E.3.M,X712_E.2.S,0-9,0-9,2011,2012,Fen,Fen,between
0.409014,X711_E.3.M,X712_E.2.M,0-9,0-9,2011,2012,Fen,Fen,between
0.5613538,X711_E.3.M,X712_E.3.S,0-9,0-9,2011,2012,Fen,Fen,between
0.54378478,X711_E.3.M,X712_E.3.M,0-9,0-9,2011,2012,Fen,Fen,between
0.46158396,X711_E.3.M,X713_E.1.S,0-9,0-9,2011,2013,Fen,Fen,between
0.42931069,X711_E.3.M,X713_E.1.M,0-9,0-9,2011,2013,Fen,Fen,between
0.45847976,X711_E.3.M,X713_E.2.S,0-9,0-9,2011,2013,Fen,Fen,between
0.42906005,X711_E.3.M,X713_E.2.M,0-9,0-9,2011,2013,Fen,Fen,between
0.2913604,X711_E.3.M,X713_E.3.S,0-9,0-9,2011,2013,Fen,Fen,between
0.51519359,X711_E.3.M,X713_E.3.M,0-9,0-9,2011,2013,Fen,Fen,between
0.47556956,X711_E.3.M,X714_E1_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.42259819,X711_E.3.M,X714_E1_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.44771161,X711_E.3.M,X714_E2_1.5,0-9,0-9,2011,2014,Fen,Fen,between
0.58723537,X711_E.3.M,X714_E2_5.9,0-9,0-9,2011,2014,Fen,Fen,between
0.33939962,X711_E.3.M,X715_E1_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.35233503,X711_E.3.M,X715_E2_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.65123547,X711_E.3.M,X715_E3_1.5,0-9,0-9,2011,2015,Fen,Fen,between
0.50564175,X711_E.3.M,X716_E1_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.7513053,X711_E.3.M,X716_E3_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.41853798,X711_E.3.M,X717_E2_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.59016879,X711_E.3.M,X717_E3_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.64477489,X711_E.3.D,X712_E.1.D,20-29,20-29,2011,2012,Fen,Fen,between
0.19452819,X711_E.3.D,X712_E.2.D,20-29,20-29,2011,2012,Fen,Fen,between
0.1891875,X711_E.3.D,X712_E.3.D,20-29,20-29,2011,2012,Fen,Fen,between
0.74997479,X711_E.3.D,X713_E.1.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.63564882,X711_E.3.D,X713_E.2.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.82703574,X711_E.3.D,X713_E.3.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.64506733,X711_E.3.D,X714_E1_20.24,20-29,20-29,2011,2014,Fen,Fen,between
0.41677406,X711_E.3.D,X714_E2_20.24,20-29,20-29,2011,2014,Fen,Fen,between
0.29185566,X711_E.3.D,X715_E2_20.24,20-29,20-29,2011,2015,Fen,Fen,between
0.418463,X711_E.3.D,X715_E3_20.24,20-29,20-29,2011,2015,Fen,Fen,between
0.23316227,X711_E.3.D,X716_E1_20.24,20-29,20-29,2011,2016,Fen,Fen,between
0.31291923,X711_E.3.D,X717_E2_20.24,20-29,20-29,2011,2017,Fen,Fen,between
0.6282582,X711_P.1.S,X711_P.2.S,0-9,0-9,2011,2011,Palsa,Palsa,within
0.59415603,X711_P.1.S,X711_P.3.S,0-9,0-9,2011,2011,Palsa,Palsa,within
0.5180366,X711_P.1.S,X712_P.1.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.52135187,X711_P.1.S,X712_P.2.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.55634379,X711_P.1.S,X712_P.3.S,0-9,0-9,2011,2012,Palsa,Palsa,between
0.7597165,X711_P.1.S,X713_P.3.M,0-9,0-9,2011,2013,Palsa,Palsa,between
0.60041229,X711_P.1.S,X715_P1_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.53177993,X711_P.1.S,X715_P2_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.57895679,X711_P.1.S,X715_P3_1.5,0-9,0-9,2011,2015,Palsa,Palsa,between
0.54876151,X711_P.1.S,X716_P1_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
