genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20120500_P19_1,generalist,NA,sulfur_oxidiser
20120500_P19_10,fermenter,NA,NA
20120500_P19_11,homoacetogen,NA,NA
20120500_P19_12,homoacetogen,NA,NA
20120500_P19_3,fermenter,NA,NA
20120500_P19_4,generalist,NA,sulfur_oxidiser
20120500_P19_7,generalist,NA,NA
20120500_P19_8,fermenter,NA,sulfate_reducer
20120500_P19_9,fermenter,NA,NA
20120500_P23_1,macromolecule_degrader,NA,NA
20120500_P23_4,generalist,NA,NA
20120500_P23_5,fermenter,NA,NA
20120500_P23_6,generalist,NA,sulfur_oxidiser
20120500_P24_5,generalist,NA,NA
20120500_P24_7,fermenter,NA,NA
20120500_P24_8,fermenter,NA,NA
20120500_P25_12,generalist,NA,NA
20120500_P26_1,macromolecule_degrader,NA,sulfate_reducer
20120500_P26_12,generalist,NA,NA
20120500_P26_5,generalist,NA,NA
20120500_P26_8,generalist,NA,NA
20120500_P27_1,fermenter,NA,NA
20120500_P27_3,fermenter,NA,sulfur_oxidiser
20120500_P28_10,fermenter,nitrogen_fixer,sulfur_oxidiser
20120500_P28_11,generalist,NA,NA
20120500_P28_12,generalist,NA,sulfur_oxidiser
20120500_P28_14,NA,NA,NA
20120500_P28_2,fermenter,NA,NA
20120500_P28_3,fermenter,NA,NA
20120500_P28_6,fermenter,NA,NA
20120500_P28_8,fermenter,nitrogen_fixer,NA
20120500_P28_9,fermenter,NA,NA
20120500_P31_3,generalist,NA,NA
20120500_P31_6,fermenter,NA,NA
20120500_P31_8,macromolecule_degrader,NA,NA
20120500_P32_2,fermenter,NA,NA
20120500_P32_4,generalist,NA,NA
20120500_P32_5,fermenter,NA,sulfur_oxidiser
20120500_P32_6,generalist,NA,NA
20120500_P32_7,fermenter,NA,NA
20120500_P32_8,generalist,NA,NA
20120500_P33_4,macromolecule_degrader,NA,NA
20120500_P33_5,macromolecule_degrader,NA,NA
20120500_P34_3,macromolecule_degrader,NA,NA
20120500_P35_2,macromolecule_degrader,NA,NA
20120500_P36_3,fermenter,NA,NA
20120500_P36_7,generalist,NA,sulfur_oxidiser
20120500_P36_8,fermenter,NA,sulfur_oxidiser
