"SampleID_from","SampleID_to","BetaDiversity","Year___from","Habitat___from","DepthLumping_from","Year___to","Habitat___to","DepthLumping_to","ReferenceYear"
"X715_E3_1.5","X711_E.3.S",0.532902001608101,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E1_1.5","X711_E.3.S",0.436889549893126,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E3_1.5","X711_E.3.S",0.701312982932562,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E2_1.5","X711_E.3.S",0.318047220931169,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E3_1.5","X711_E.3.S",0.50690338873251,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.1.M","X711_E.3.M",0.386001296918972,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.S","X711_E.3.M",0.362375521649328,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.M","X711_E.3.M",0.40901399770605,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.S","X711_E.3.M",0.561353796519521,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.M","X711_E.3.M",0.543784775275529,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.S","X711_E.3.M",0.461583963394898,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.M","X711_E.3.M",0.429310691666751,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.S","X711_E.3.M",0.458479764652362,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.M","X711_E.3.M",0.429060049790147,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.S","X711_E.3.M",0.291360398194712,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.M","X711_E.3.M",0.515193592258049,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_1.5","X711_E.3.M",0.475569559446473,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_5.9","X711_E.3.M",0.422598186280342,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_1.5","X711_E.3.M",0.447711611516905,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_5.9","X711_E.3.M",0.587235368132523,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E1_1.5","X711_E.3.M",0.339399619214877,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E2_1.5","X711_E.3.M",0.352335027514369,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E3_1.5","X711_E.3.M",0.651235474957666,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E1_1.5","X711_E.3.M",0.505641745083903,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E3_1.5","X711_E.3.M",0.75130530367777,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E2_1.5","X711_E.3.M",0.418537983182776,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E3_1.5","X711_E.3.M",0.590168786571608,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.1.D","X711_E.3.D",0.64477488783668,2012,"Fen","20-29",2011,"Fen","20-29",2011
"X712_E.2.D","X711_E.3.D",0.194528188798145,2012,"Fen","20-29",2011,"Fen","20-29",2011
"X712_E.3.D","X711_E.3.D",0.189187496080951,2012,"Fen","20-29",2011,"Fen","20-29",2011
"X713_E.1.X0","X711_E.3.D",0.749974787646472,2013,"Fen","20-29",2011,"Fen","20-29",2011
"X713_E.2.X0","X711_E.3.D",0.635648823264046,2013,"Fen","20-29",2011,"Fen","20-29",2011
"X713_E.3.X0","X711_E.3.D",0.827035742852889,2013,"Fen","20-29",2011,"Fen","20-29",2011
"X714_E1_20.24","X711_E.3.D",0.645067325309701,2014,"Fen","20-29",2011,"Fen","20-29",2011
"X714_E2_20.24","X711_E.3.D",0.416774055954712,2014,"Fen","20-29",2011,"Fen","20-29",2011
"X715_E2_20.24","X711_E.3.D",0.291855660740679,2015,"Fen","20-29",2011,"Fen","20-29",2011
"X715_E3_20.24","X711_E.3.D",0.418463000976214,2015,"Fen","20-29",2011,"Fen","20-29",2011
"X716_E1_20.24","X711_E.3.D",0.233162267234806,2016,"Fen","20-29",2011,"Fen","20-29",2011
"X717_E2_20.24","X711_E.3.D",0.312919231804128,2017,"Fen","20-29",2011,"Fen","20-29",2011
"X712_P.1.S","X711_P.1.S",0.518036599426373,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.2.S","X711_P.1.S",0.521351871888166,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.3.S","X711_P.1.S",0.55634378504149,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X713_P.3.M","X711_P.1.S",0.759716499272751,2013,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P1_1.5","X711_P.1.S",0.600412290640321,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P2_1.5","X711_P.1.S",0.531779927092683,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P3_1.5","X711_P.1.S",0.578956792543665,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
"X716_P1_1.5","X711_P.1.S",0.548761509053824,2016,"Palsa","0-9",2011,"Palsa","0-9",2011
"X716_P2_1.5","X711_P.1.S",0.648994786183539,2016,"Palsa","0-9",2011,"Palsa","0-9",2011
"X716_P3_1.5","X711_P.1.S",0.802948652961707,2016,"Palsa","0-9",2011,"Palsa","0-9",2011
"X717_P2_1.5","X711_P.1.S",0.654633181234031,2017,"Palsa","0-9",2011,"Palsa","0-9",2011
"X717_P3_1.5","X711_P.1.S",0.536001848626266,2017,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.1.M","X711_P.1.M",0.511949537816749,2012,"Palsa","10-19",2011,"Palsa","10-19",2011
