"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"20110700_P3M_11" 0 14.014628 0 0 9.690068 0 0 24.187548 0 0 51.30788 0 0 8.090701 0 0 7.4652762 0 8.6024685 0 0 0 0.52285534 0 0 0 3.4021876 0 0.7829292 7.32346 0 0 0 25.705528 0 0 0 0.1603497 12.623972 15.561322 0 43.875313 10.252325 1.1880502 0 0.1423297 0 0 0 0 0 3.813161 0.44766355
"20110800_P3M_3" 0 28.616673 0 0 0 0 0 6.4842606 0 0 17.785355 0 0 3.229346 0 0 12.455449 0 3.028557 0 0 0 0 0 0.11936658 0 0 0.095545776 10.217605 1.144107 0.8059989 0 6.4754643 0 0 0 0 0.35511518 3.234553 1.3065115 0 9.778276 6.6845193 16.133032 0 32.167957 0 0 0 0 0 3.7323112 5.516927
"20120500_P24_8" 0 1.8028588 0 0 0 0 0 9.229627 0 0 1.1875094 0 0 0.49861246 0.28169397 0 3.6228013 0 0.06791764 0 0 0 5.453291 0 0 0 0.05833068 0 0 10.231812 0 0 0 1.1883754 0 0 5.4568267 1.0747888 0.20868978 0.82569116 0 0.9998374 0.37050676 2.6101198 0 0.06522136 0.17513669 0 0.4089816 1.0020165 0 0.21328346 4.8841553
"20160700_P15_3" 2.7937613 23.711176 0 1.6982261 80.20297 0.08870845 6.915549 12.800668 3.8688145 5.576938 6.276856 2.2351112 6.8976827 7.3379216 21.419302 2.0428455 14.971839 0 5.3299394 0 0.5724991 0 247.02464 2.9407756 2.0663908 3.343106 4.071134 1.9404627 4.342889 47.832344 3.5102854 4.559558 5.6537433 16.331013 2.1163235 2.5044727 143.47797 29.994432 7.55108 23.463503 0 2.664059 3.3752139 32.452713 95.74738 3.434431 189.06871 1.6268321 16.686066 20.842464 3.8829942 6.452069 26.186836
"20160700_P15_2" 0 0.41335306 0 0 8.028581 0.110064566 0 0.22863814 0.5191127 0 0.11527475 0.87505555 0 0.42409918 0.37139025 0 1.5802215 0.58850545 0 1.3994502 0 0 0.98445964 0 0 0.06446658 1.4620618 0 0.14165388 0.46942347 0 0 0 9.874476 0 0 18.848722 3.115367 0.20547362 1.9114585 0.21207507 0.22412713 0 0.08376995 1.5614055 0 2.6770742 0 0.2821869 0.12178953 0 0 0.28680283
"3300037138_9" 0 0.4876708 0 0 2.1684349 0 0 0.05907693 0.06212208 0 0 0 0 0.16615058 2.4657087 0 0.22354412 0 0.16935536 0 0 0 11.143246 0 0 0.057428446 1.2550187 0 0 1.888432 0 0 0.40238222 7.314331 0 0 1.3008299 0.15073001 0 0.47506028 0 0.17603105 0 0 0 0.86309874 4.2422814 0 1.7125424 0 0 0 0
"20160700_P15_10" 0 0.8652631 0 0 0.17655219 0 0 6.35927 1.8314443 0 1.775745 0 0 0 2.3745055 0 0.31298468 0 0 0 0 0 0.15644825 0 0 0 0 0 0 0.6561079 0 0 0 4.1781197 0 0 11.869467 2.0088565 0 0.34444463 0.5466175 2.8390088 0 0.69872606 4.832057 0.26181102 2.0292797 0 2.235585 0.26873484 0 0 2.785311
"20110800_P3M_11" 0.7983263 4.3564734 0 0.6443397 28.407467 0 0.099251136 14.508583 0 0.121419795 15.197779 0 1.3382428 18.556398 0 0.36241212 10.2649555 0 3.017311 0 0 0 5.3312 0.06443378 0.24198256 2.1376956 8.21932 0.16148649 3.2975323 6.33307 0.5352504 1.0316242 4.5597267 63.036316 0.14111848 2.3213024 0.77368134 0.4528102 3.981766 18.494316 0 15.328666 2.5873725 4.579418 0 12.877512 1.1906588 3.877322 10.887965 0.50187135 0.16671859 3.9450471 2.5803688
"20120500_P32_2" 0 3.397227 0 0 1.3610053 0 0.42093402 1.8727977 0 0.10464963 0 0 0.1017836 0 0 0 0.28018305 0 0 0 0.47696093 0 0 0 0 0 0 0 0 0 0.2350606 0 0 0 0.2863486 0 0 0 0 0.12950917 0 0.07188448 0.10486599 3.2088082 0 0 0 0 40.562897 5.8868065 0.316324 0.35386387 8.960471
"20120600_P3D_3" 0 56.942974 0 0.10536255 8.93747 0 0 0.3916804 0 0 33.67771 0 0 0.43758804 0 0.67657447 13.696185 0 6.2978444 0 0 0 6.6125717 0 0 0.1818444 1.3197144 0 0.33697277 0.07550188 0 0 0 5.697032 0 0 0 0 0 10.869311 0 34.67005 0 0.7101189 0 9.99292 0 5.432737 0.5273989 0 0 0 0.3178534
"20110600_P1D_1" 0 2.2196233 0 0.8588717 0.34055766 0 0 0.72031677 0 0 0.08788085 0 0 0.3331219 0 0.107404545 0.06818739 0 0.7726599 0 3.8208878 0 0.32696104 0 0 0 0 0 0.15650807 0.96772766 0 0 0.055818707 1.6428556 0 0 1.0681747 0.18993253 0.36388162 1.68168 0 1.1479641 0 1.621766 1.1885958 0.29126537 2.443146 0.27387568 0.15072411 26.476717 0 0 8.486193
"20150700_P23_7" 0 1.3749045 0 0 11.027472 0 0 28.349586 0 0 12.696566 0 0 22.701708 0.061507557 0 11.565941 0 10.411203 0 0 0 0.06701015 0 0.13789956 1.0569235 6.7448545 0 15.042773 0.50602823 0 0 12.170379 6.5851226 0 0 0.13561626 0 9.877292 3.0462856 0 5.8260856 3.2894278 8.516665 0 3.3333519 0.35381207 0 1.7158533 0 0 3.9857247 4.596436
"20120700_P2M_1" 0.8994654 19.944818 0 3.5348332 42.76881 0.07723889 0.24394995 20.220585 0.21297693 0.5991074 23.81135 0.089258 0.488444 39.121235 0.25957555 1.4002224 18.186066 0 17.450544 0 4.3836913 0 17.268671 0 0.8275009 11.611147 19.945677 1.6242362 14.094008 12.051578 1.893965 7.3964863 31.057302 31.09979 0.22367863 3.3349714 10.2862835 7.9419913 20.415674 20.454754 0 13.360862 9.936222 9.345309 5.182374 18.771824 18.542265 4.1584225 10.324194 3.6162949 1.3236047 8.520419 15.273426
"20130700_S1X_7" 0 3.4538956 0 0 3.2941313 0 0 0.2487845 0.33909407 0 1.2602594 0 0 4.0042377 0.101193905 0 2.0576146 0 1.0210619 0 0.3836256 0 0.7306425 0 0 0.5213269 2.5117996 0 0.38241985 0.55035263 0 0 2.2892225 0.67515683 0 0 1.5045918 0.20489861 0.63959914 0.40148628 0 15.601176 0 1.3686101 0.4027965 10.584446 1.8961084 0 8.569289 1.0832179 0 0 4.4562407
"20160700_P15_15" 0 10.87318 0 0 2.3940005 0 0 1.1709408 4.2066717 0 0.8803209 10.095066 0 5.483015 28.536417 0 8.517848 1.0952743 0 0.45899767 0.09540975 0 11.811964 0 0.6972792 8.257669 23.23126 0 0 3.6021328 0 0 1.2291949 32.7759 0 0 19.730694 3.2448132 0 18.426744 3.3961108 10.5013 0 11.515367 1.7200457 1.8657646 14.062761 0 3.0374475 1.8990285 0 0.10165397 21.262323
"20120500_P24_7" 0 0 0 0 9.724086 0 0 5.004617 0.6838548 0 10.901423 0.36773103 0 1.5638505 4.8462996 0 1.602228 0.08378085 0 0 0 0 0.6503525 0 0 0.15522544 4.227976 0 0 0 0 0 0.0764207 18.185225 0 0 5.1059227 0.76377183 0.079631746 14.887346 0 0.08076485 0 0.58493596 0.24412164 0 3.6108007 0 17.47417 3.4394672 0 0 0.3173651
"20120500_P23_1" 0 6.180636 0 0 6.8049564 0 0 9.75471 0 0 15.742664 0 0 5.8017993 0 0 7.8097763 0 10.367677 0 0 0 0.79106003 0 0 0 0 0 3.2164207 1.9709773 0 0 0.14818524 0.8402563 0 0 0 0 8.928703 10.257018 0 5.0511503 1.3916215 0.9723007 0 0.5643133 0 0 0.057269398 0 0.12993163 1.6318825 0.3345293
"20120500_P15_4" 0 9.331746 0 0 1.328361 0 0 56.224457 0.105320945 0 22.83362 0 0 0 0.109568164 0 3.26052 0 0.47804338 0 0 0 0 0 0 0 0 0 0.16204576 0.78915745 0 0 0 0 0 0 0 0 2.8808703 3.5907607 0 0.2619909 1.5310333 1.3934647 0 0 0.118891954 0 0.58867323 0 0.41515192 26.272852 3.6068304
"20110800_P3M_18" 0.3798611 10.753142 0 0.29351914 11.539762 0 0.06985801 12.336238 0.0817692 0.2122442 1.0445225 0 0.23973164 0.40057734 0 0.24395366 7.3691425 0 3.7575874 0 0.21157849 0 3.6805208 0.060552325 0.30297178 0.1071307 0.14637063 0 0.11402142 1.6555786 0.2889983 0 0.10118343 6.6272917 0.1866216 0 3.4951327 2.2652543 2.6158617 13.312979 0 6.600649 2.5710595 4.5307717 0.10488571 0.19062613 0.256339 0.109276734 2.1135938 0.63649255 0.10231498 3.9801817 12.73093
"20160700_P15_8" 0.34582707 6.0936136 0 0.48570147 10.594707 0 0.16763534 0.47520924 0.25334063 0.37936223 0.15123741 0 0.51336765 0.17433676 0.08737185 0.4422436 1.1807245 0 0.15424384 0 0.10507184 0 15.181323 0.1590385 0.581667 0.15110384 0.12722324 0.09162186 0 1.3662761 0.6920171 0 0.121343955 1.8124772 0.52237767 0 15.300698 3.1466773 0.15554748 10.239508 0 0.47968602 0.17054184 3.2031274 1.3886435 0.16215883 3.471549 0.14954601 29.246305 7.0000544 0.2009494 0.41467005 6.256423
