x	y	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	pval
butanoate_fermentation-acetyl_coa_pathway	lactose_degradation-all	-0.20825767482464222	-24.54477823949924	3.803615119292244e-130	13288	-0.2244646210225333	-0.19193555171599447	Pearson's product-moment correlation	two.sided	3.993795875256856e-129
butanoate_fermentation-acetyl_coa_pathway	CAZy-Arabinan	-0.2004052340586603	-23.579791369220377	1.81907884469036e-120	13288	-0.21666870988527637	-0.18403055242503571	Pearson's product-moment correlation	two.sided	1.75467126837118e-119
butanoate_fermentation-acetyl_coa_pathway	CAZy-Arabinose_cleavage	-0.21287559609660517	-25.11457707908528	4.9981243617281385e-136	13288	-0.22904832940689146	-0.19658537120677955	Pearson's product-moment correlation	two.sided	5.476205822415178e-135
butanoate_fermentation-acetyl_coa_pathway	CAZy-Pectin	-0.22036294864428135	-26.042198372931306	7.294648975246693e-146	13288	-0.23647868640343628	-0.20412599997947603	Pearson's product-moment correlation	two.sided	8.500585164218112e-145
lactose_degradation-all	galactose_degradation-all	0.5334934896227377	72.70915725690016	0	13288	0.5212193919384062	0.5455469291219802	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	sucrose_degradation-all	0.32389319368366626	39.46367290757643	3.56e-322	13288	0.30859080650665116	0.3390279712990368	Pearson's product-moment correlation	two.sided	1.1205e-320
lactose_degradation-all	fructose_degradation-all	0.2250712882293006	26.627987816909947	3.065060017696979e-152	13288	0.20886882872145945	0.24115021982218418	Pearson's product-moment correlation	two.sided	3.7223861419741623e-151
lactose_degradation-all	galacturonic_acid_degradation-all	0.26470100319945056	31.641675965604946	6.471658111513252e-212	13288	0.24881906480872698	0.28044063278871123	Pearson's product-moment correlation	two.sided	1.2193329675524033e-210
lactose_degradation-all	CAZy-Alpha_mannan	0.22195330286530277	26.239846208052565	5.318217786556981e-148	13288	0.20572791849186092	0.2380566917950823	Pearson's product-moment correlation	two.sided	6.306780622175809e-147
lactose_degradation-all	CAZy-Amorphous_Cellulose	0.3241896634848182	39.50403538358217	8e-323	13288	0.30889048351234877	0.33932111647923996	Pearson's product-moment correlation	two.sided	2.53e-321
lactose_degradation-all	CAZy-Arabinan	0.6615498659237402	101.6923679953539	0	13288	0.6518801605652689	0.6710044709201094	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Arabinose_cleavage	0.6712304955948423	104.38486878610726	0	13288	0.6617810713397819	0.6804666783819733	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Beta_galactan__pectic_galactan_	0.5277821860391639	71.62796837950737	0	13288	0.5154053059529843	0.5399389210132645	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Chitin	0.3534861379107901	43.55984949106299	0	13288	0.33851887613085035	0.3682745717941064	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Fucose_Cleavage	0.683010691404153	107.79325016270538	0	13288	0.673833771232211	0.6919769268267937	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Mixed_Linkage_glucans	0.3292927051999466	40.200836868693514	0	13288	0.3140492060315542	0.34436647190465275	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Pectin	0.6453444361777307	97.38444144528178	0	13288	0.6353133543279549	0.6551577856569252	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Rhamnose_cleavage	0.20012470462707838	23.545406025449765	3.9647373593239754e-120	13288	0.18374818451655997	0.2163901616015556	Pearson's product-moment correlation	two.sided	3.788109249477315e-119
lactose_degradation-all	CAZy-Sulf_Polysachharides	0.3174276951767821	38.58663433407202	7.704931310371e-309	13288	0.3020561197870467	0.3326342460541239	Pearson's product-moment correlation	two.sided	2.284285517898226e-307
lactose_degradation-all	CAZy-Xylans	0.5767010924967216	81.37337440813872	0	13288	0.5652415172724932	0.5879381295137598	Pearson's product-moment correlation	two.sided	0
lactose_degradation-all	CAZy-Xyloglucan	0.5221088831620274	70.56730842342677	0	13288	0.509631032432829	0.5343671575600827	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	sucrose_degradation-all	0.43724164066726573	56.043526076229135	0	13288	0.42338732551578295	0.45089149372516213	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	fructose_degradation-all	0.24337040594316947	28.923820067005696	1.9059751484590054e-178	13288	0.22730923007544035	0.2592992163752401	Pearson's product-moment correlation	two.sided	2.825327867127467e-177
galactose_degradation-all	galacturonic_acid_degradation-all	0.2354443959985736	27.925568800832977	8.147510304846706e-167	13288	0.219320610784746	0.2514396101780246	Pearson's product-moment correlation	two.sided	1.0877735612298648e-165
galactose_degradation-all	CAZy-Alpha_mannan	0.24951988798257121	29.702554138027715	9.07425312505896e-188	13288	0.23350877782609866	0.2653957252128275	Pearson's product-moment correlation	two.sided	1.4872922195218589e-186
galactose_degradation-all	CAZy-Amorphous_Cellulose	0.22259550258726318	26.31972054901379	7.210005382177852e-149	13288	0.2063748126281365	0.23869388085002657	Pearson's product-moment correlation	two.sided	8.600811154124586e-148
galactose_degradation-all	CAZy-Arabinan	0.4217208898881749	53.61409747746747	0	13288	0.4076419575823208	0.4355993681458323	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	CAZy-Arabinose_cleavage	0.5267777408700738	71.43922476450483	0	13288	0.5143829022809597	0.5389525307739831	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	CAZy-Beta_galactan__pectic_galactan_	0.308456003703122	37.3795068660894	7.263953085494477e-291	13288	0.2929908134191032	0.3237598325873048	Pearson's product-moment correlation	two.sided	1.9268591342574824e-289
galactose_degradation-all	CAZy-Chitin	0.363376938348694	44.961212632232275	0	13288	0.3485284415138494	0.37804309273192443	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	CAZy-Fucose_Cleavage	0.5104038648271345	68.41923742866074	0	13288	0.49772124470458956	0.5228682655937701	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	CAZy-Mixed_Linkage_glucans	0.2711109102516579	32.46791175041911	1.3308625406093613e-222	13288	0.25528589591262674	0.286790707858515	Pearson's product-moment correlation	two.sided	2.656454338483636e-221
galactose_degradation-all	CAZy-Pectin	0.4245712727922175	54.05583179964202	0	13288	0.4105329639445737	0.43840836471912126	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	CAZy-Starch	0.31254481069576395	37.92825265349658	5.585829521362393e-299	13288	0.29712194015147847	0.3278046395641476	Pearson's product-moment correlation	two.sided	1.586060889445998e-297
galactose_degradation-all	CAZy-Sulf_Polysachharides	0.22083337490269117	26.100639714228475	1.7083237993962735e-146	13288	0.20459983789510913	0.23694546873660421	Pearson's product-moment correlation	two.sided	2.014023847709291e-145
galactose_degradation-all	CAZy-Xylans	0.4953387401067301	65.72980270519243	0	13288	0.4823996042950579	0.5080617592859922	Pearson's product-moment correlation	two.sided	0
galactose_degradation-all	CAZy-Xyloglucan	0.4486690654443304	57.871556493734424	0	13288	0.4349854808565528	0.46214546971789616	Pearson's product-moment correlation	two.sided	0
sucrose_degradation-all	fructose_degradation-all	0.36996665637561105	45.90453881686523	0	13288	0.35519916677102376	0.3845495301912802	Pearson's product-moment correlation	two.sided	0
sucrose_degradation-all	galacturonic_acid_degradation-all	0.26037859855204926	31.087074226077846	7.109523463955452e-205	13288	0.24445907370039	0.2761577968605175	Pearson's product-moment correlation	two.sided	1.2797142235119814e-203
sucrose_degradation-all	CAZy-Arabinan	0.32030914893558604	38.97675011823799	9.557694227e-315	13288	0.3049682299577475	0.33548388559192355	Pearson's product-moment correlation	two.sided	2.96435562493e-313
sucrose_degradation-all	CAZy-Arabinose_cleavage	0.433158814634511	55.3986406028242	0	13288	0.41924460117116713	0.4468695854642997	Pearson's product-moment correlation	two.sided	0
sucrose_degradation-all	CAZy-Beta_galactan__pectic_galactan_	0.23042575619352335	27.29655641235025	1.1317249486052655e-159	13288	0.21426344521998847	0.24646192532580335	Pearson's product-moment correlation	two.sided	1.4349418216278084e-158
sucrose_degradation-all	CAZy-Chitin	0.31908155140707756	38.8104010895534	3.196553138643e-312	13288	0.30372753667710967	0.33426987595885865	Pearson's product-moment correlation	two.sided	9.7640168598564e-311
sucrose_degradation-all	CAZy-Fucose_Cleavage	0.38761161949080136	48.470685565319584	0	13288	0.37306844742393025	0.40196436563888027	Pearson's product-moment correlation	two.sided	0
sucrose_degradation-all	CAZy-Mixed_Linkage_glucans	0.3001937491552714	36.27759674454111	7.323725845605854e-275	13288	0.28464480528434244	0.3155847812966396	Pearson's product-moment correlation	two.sided	1.8227939882396793e-273
sucrose_degradation-all	CAZy-Pectin	0.35883260349301205	44.315230376089296	0	13288	0.34392911942299087	0.3735553447693281	Pearson's product-moment correlation	two.sided	0
sucrose_degradation-all	CAZy-Starch	0.27267640912059815	32.6704067699526	2.9455591629247483e-225	13288	0.25686551256461215	0.28834138457164143	Pearson's product-moment correlation	two.sided	5.938247272456293e-224
sucrose_degradation-all	CAZy-Xylans	0.390589629822657	48.90982455848384	0	13288	0.3760853812264698	0.40490251266141586	Pearson's product-moment correlation	two.sided	0
sucrose_degradation-all	CAZy-Xyloglucan	0.2988025592113273	36.09295113509155	3.2224069595444845e-272	13288	0.28323974481882813	0.3142080497702313	Pearson's product-moment correlation	two.sided	7.92240540297766e-271
fructose_degradation-all	galacturonic_acid_degradation-all	0.3101219951714074	37.60281523518718	3.721364072041969e-294	13288	0.2946739784350445	0.3254079637041975	Pearson's product-moment correlation	two.sided	1.0003026625648812e-292
fructose_degradation-all	glycerol_degradation-glycerol	0.20844121505473379	24.567391958046507	2.23418197665164e-130	13288	0.1921203457647331	0.2246468151408357	Pearson's product-moment correlation	two.sided	2.358173227711888e-129
fructose_degradation-all	CAZy-Arabinan	0.23320158548048497	27.644177200795617	1.3311555539358317e-163	13288	0.21706047617118815	0.2492152068368452	Pearson's product-moment correlation	two.sided	1.7313610301513784e-162
fructose_degradation-all	CAZy-Arabinose_cleavage	0.30042624656457406	36.30847971580532	2.6395101502188416e-275	13288	0.284879627268088	0.31581485607783866	Pearson's product-moment correlation	two.sided	6.651565578551481e-274
fructose_degradation-all	CAZy-Chitin	0.2655574073774442	31.75180195974662	2.5131300110288055e-213	13288	0.2496829924515568	0.2812891227809909	Pearson's product-moment correlation	two.sided	4.825209621175307e-212
fructose_degradation-all	CAZy-Fucose_Cleavage	0.27393269166845297	32.83310774983718	2.117367239172821e-227	13288	0.25813318545855624	0.28958571320335963	Pearson's product-moment correlation	two.sided	4.3557268920126604e-226
fructose_degradation-all	CAZy-Mixed_Linkage_glucans	0.2559275952266247	30.51806720707212	9.20065257034106e-198	13288	0.23997003827976648	0.2717468844918833	Pearson's product-moment correlation	two.sided	1.5990099639489291e-196
fructose_degradation-all	CAZy-Pectin	0.27733815171193005	33.275065645882634	2.87131618284753e-233	13288	0.26156979545747755	0.2929585031578233	Pearson's product-moment correlation	two.sided	6.158056834702788e-232
fructose_degradation-all	CAZy-Polyphenolics	0.20678384301310665	24.363287639509558	2.6775553525311647e-128	13288	0.190451693676118	0.22300155743540032	Pearson's product-moment correlation	two.sided	2.7681803029245272e-127
fructose_degradation-all	CAZy-Starch	0.21099530238841252	24.882360175834865	1.2897741660061616e-133	13288	0.19469200096040185	0.22718205282726592	Pearson's product-moment correlation	two.sided	1.397948773477646e-132
fructose_degradation-all	CAZy-Xylans	0.27323255748202324	32.74241112813488	3.3244496764615137e-226	13288	0.25742669664911794	0.2888922475365685	Pearson's product-moment correlation	two.sided	6.769788432067082e-225
