Habitat__,genome,tpm
Bog,20120700_S1D_21,252830.99175130247
Bog,20120700_P3D_83,250769.34418858108
Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.344_99.28_6.76,249916.42776197725
Bog,Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.129_89.36_9.06,249169.10611578735
Bog,20170700_S25_26,248295.55721823155
Bog,20170700_E15_6,243255.78419459515
Bog,PLTT01,242367.57866065932
Bog,Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57,241055.21847528106
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.94_71.04_6.96,239743.01537530593
Bog,Bog.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.170_83.72_0.87,234758.22588642253
Bog,20120700_S1X_2,233694.54497416553
Bog,20170700_S24_10,232667.8306583796
Bog,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.35_75.21_2.71,232389.7386644329
Bog,20120500_P31_3,230569.9013584706
Bog,Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.65_85.94_3.20,228888.84756860454
Bog,20170700_S34_41,225760.0769367872
Bog,20111000_S2M_4,225576.32354860485
Bog,20140700_S21_6,225350.01257432194
Bog,20160700_S15_2,219184.0498633604
Bog,Bog.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.69_84.77_5.37,218787.8372973081
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.85_97.01_0.10,216425.1747527073
Bog,Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29,216307.00042368626
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.27_76.49_0.00,214458.6573947168
Bog,20130700_S2S_8,211988.42680343497
Bog,Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15,210639.11003293027
Bog,20160700_P15_18,210253.61262941817
Bog,20160700_E25_15,208821.616627249
Bog,20170700_S25_8,208799.11133774347
Bog,20170700_S35_2,208339.51969488926
Bog,20170700_S33_29,207937.12567941958
Bog,20120600_S1S_4,206547.10026659662
Bog,20150700_P15_5,205184.81841354235
Bog,20120500_P38_6,203576.47232524672
Bog,20160700_E23_6,200277.84416321665
Bog,20120700_S1D_85,197673.8993930593
Bog,20120500_P28_11,196072.03755339226
Bog,3300037349_11,193799.84758030807
Bog,20160700_E23_20,191550.8065704815
Bog,20150700_P15_3,189546.77133787537
Bog,20170700_S34_32,188415.1279404511
Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.356_99.38_2.70,186395.87801371902
Bog,20140700_E14_11,186300.02639984558
Bog,20140700_S21_12,183050.47607720486
Bog,20160700_E23_21,182239.95053251323
Bog,3300037110_7,181999.55159736844
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.328_92.09_2.03,181398.58231288844
Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.75_88.18_7.24,181262.14570725776
Bog,Bog.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.90_96.67_0.48,179782.06613039202
Bog,20110800_S1M_8,178645.0163851496
Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.9_79.17_4.70,177688.25929943513
Bog,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91,176912.8921991369
Bog,20110600_P3S_14,176829.0469305607
Bog,20160700_P15_25,175648.64082814456
Bog,Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.8_92.23_3.04,174432.41313536387
Bog,20100900_E1D_10,173811.6602391338
Bog,20160700_P15_5,173034.7591758954
Bog,Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.86_71.87_2.22,171942.18899710005
Bog,20110800_P2D_9,171804.65702043314
Bog,PLPO01,170979.7417000554
Bog,PLNE01,170328.9872909192
Bog,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.307_96.20_1.65,167536.24531152434
Bog,20120600_P3M_11,165841.03766087047
Bog,20120700_S1D_66,163347.11025261422
Bog,20170700_S25_1,162584.31770360682
Bog,20110800_S3S_35,156957.40317373
Bog,PLTZ01,155818.62192865106
Bog,PLXS01,155668.41097166427
Bog,20110800_S3D_3,155436.17415749485
Bog,20140700_S11_6,154555.80131849163
Bog,20120700_S3X_18,153604.499950083
Bog,20110700_S2D_14,153185.2789481449
Bog,Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.180_95.25_4.11,152870.25517681826
Bog,20120700_P3D_3,151701.6400413044
Bog,20110800_S3S_31,150734.6916758858
Bog,20110700_P2D_9,149976.31450608536
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.163_88.86_2.16,149621.81700656912
Bog,20130700_S3Z_17,149180.7141053715
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.260_94.67_5.63,149050.65414158162
Bog,Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45,146875.9338796063
Bog,20120700_P3S_1,146365.9992919923
Bog,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.234_85.78_3.99,145761.2866281983
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.148_73.61_7.22,145539.89358920458
Bog,20110800_S3S_21,145059.51879659877
Bog,20120600_E2D_28,144116.87790701888
Bog,20140700_E22_12,144001.9099386496
Bog,20120600_S2D_17,143750.2859351712
Bog,20120500_P26_8,141719.34925545275
Bog,20130700_S3M_8,141486.5584825496
Bog,20150700_S21_6,140828.92573732842
