"","MEgreenyellow","MEpurple","MEturquoise","MEblack","MEblue","MEmagenta","MEbrown","MEred","MEgreen","MEpink","MEyellow","MEgrey"
"714_E2_1-5",-0.0280024702119238,-0.0620508614031092,-0.0742039831383305,-0.135228828197705,0.116107778916019,-0.113331007348261,-0.00373444788092436,-0.0117914489258896,-0.0421305929136466,-0.0296736854983996,-0.00661213710542065,-0.339655750343249
"714_E2_20-24",-0.0386308160913532,-0.0506182520657002,-0.0310598040362707,-0.103104685630242,-0.113024724155565,-0.105323993660317,0.000329941167847437,0.16479099040294,0.244766364201724,0.191699011829891,0.0165851744058506,0.181639169610209
"714_E2_5-9",-0.0314293488859576,-0.0598843709398184,-0.0623385602265508,-0.157043035531655,-0.0530335701827629,-0.113704745080115,0.357336642385232,0.165838325952264,0.365146507370484,-0.0819370079671757,0.0153250299281596,-0.133949834307126
"715_E1_1-5",-0.040607735687428,-0.0556833505930279,-0.0617261597233591,0.0125913621264908,0.00544937419382302,-0.00814685275561273,0.0345168647532755,-2.18549558264053e-05,0.0806557726769763,0.0938714373538473,0.168302119107237,0.0854857772507658
"715_E2_1-5",-0.0479420364766899,-0.0474544301318456,-0.0654719532085987,0.0911720917624138,0.180103408599829,0.104735723955847,-0.0711393171663631,-0.087521278307983,-0.112668756749437,-0.00892006564140084,0.00555445634391839,-0.0011038283814507
"715_E2_20-24",-0.0434420518518998,-0.0542612894110175,-0.0574831708597217,0.0820596998097321,-0.0596061808424011,-0.0265240157392475,-0.054364452363273,-0.0215933708930858,0.0376795651660386,0.151709646602267,0.0775976293936995,0.087331948169616
"715_E2_30-34",-0.0407426503791562,-0.0460861893780645,-0.0360425615972315,0.164566017119351,-0.0644154197500523,-0.0212137248373829,-0.0772099383694496,-0.000701154996586661,0.0105349714893335,0.158301678380931,0.00365544142476457,0.0607204649962769
"715_E3_1-5",-0.0587453503680346,-0.0622714195555792,-0.0926492181342745,-0.144737182305272,0.352154869630505,-0.0599481084736323,-0.0796357421785412,-0.112096632783378,-0.123861031446441,-0.201134954582168,-0.159928373847207,-0.197733568051113
"715_E3_10-14",-0.0384967197827771,-0.0502261221432743,-0.0595864298014694,-0.034421217046457,0.145081967929447,0.00104984628695962,0.0286389241716201,-0.0363687282890659,-0.0640483177191851,-0.0469085404086637,0.145404931022218,0.151271659172561
"715_E3_20-24",-0.0426810896754323,-0.0515822766377322,-0.0471149712165713,-0.0462819367970891,0.00401814831334961,-0.045564709999481,0.0321097071942604,0.0723071289131912,0.0714402658125837,0.0398510518354226,0.14784931473046,0.134449301037231
"715_E3_30-34",-0.0349512788976943,-0.0363729712404534,-0.0188842100345625,0.0749724885084905,-0.0706089154265268,-0.0326068749807786,0.0017779435347288,0.112578339469488,0.0488374635004884,0.0943221821458309,0.0377944730196499,0.00124399446069007
"716_E1_1-5",-0.0509317655522368,-0.0585567181398339,-0.0741007301121958,-0.0561962527627757,0.262384188313003,0.137269648921297,-0.0338810297188968,-0.102682113346759,-0.105547659846938,-0.142444393802321,-0.0652538212029794,-0.131264369766334
"716_E1_10-14",-0.0508813869684462,-0.0535513725131668,-0.0602963869493198,0.0029836185614745,0.0288778416245825,0.0125939932237654,0.0227913046527726,-0.00236146444738145,0.151326228778661,0.0681901456905305,0.0849029905275753,0.121819031439616
"716_E1_20-24",-0.0468338500102326,-0.0490770622852855,-0.0442226124555441,0.0736225696933387,-0.0642331563805107,-0.0124447050538111,-0.0593254423272161,-0.0107262705394148,0.0799378648926811,0.158166045674921,0.0483176527161287,0.122306738895312
"716_E1_30-34",-0.0376116222796201,-0.0329665158858709,-0.0119435594844559,0.154242471839496,-0.0835849996919225,-0.0358825467339602,-0.0687518189287333,-0.0106363652840134,0.0304661062399981,0.147659350240794,-0.0105136392353825,0.0678316293723062
"716_E3_1-5",-0.0556488977009815,-0.0585570612542441,-0.103261069555145,-0.144980346943243,0.170281264944259,0.209691777953595,-0.093975881343146,-0.112096632783378,-0.0953718179090308,-0.210386465078255,-0.187711552220803,-0.237952981473122
"716_E3_10-14",-0.0520223945759926,-0.0519743394916512,-0.0686282037546024,0.131758111478313,-0.0075425480168111,0.0634150269141238,-0.0118890425202279,-0.039430190147855,0.0504049461539864,0.127115257632781,0.0920880479791728,-0.13073615262257
"716_E3_30-34",-0.0426041828261284,-0.0388427649865617,-0.0419817221296175,0.221628182243511,-0.0849476765513526,-0.00425539128361792,-0.0766384167727194,-0.0303218793578217,-0.0384683647093766,0.169102675445721,-0.0102035214007937,0.0202973470249625
"717_E2_1-5",-0.0434846684768108,-0.0460061807239843,-0.0666576783419858,0.133866527466978,0.121853416547896,0.182224826221766,-0.0387002478807525,-0.0860068647325797,-0.113665265654224,-0.0328313958692143,0.0528926141603905,0.0314759832225927
"717_E2_10-14",-0.0391455935551647,-0.0356407301708952,-0.058401717498272,0.0552990004292308,0.0702705136980354,0.0916202361997946,0.0947760545473041,-0.0291571292093126,-0.0419665860964401,-0.0146231292994293,0.158474197642508,0.0518687031526193
"717_E2_20-24",-0.0281487334026464,-0.0273810753532123,-0.0517055408896244,0.14018599515507,-0.0242086958774932,0.0706775013931491,0.0312378531620072,-0.00792856621524276,-0.0256945112817232,0.0801984666540695,0.0814771306006228,0.0565382896500997
"717_E3_1-5",-0.0337264990687981,-0.0433504296114201,-0.0696705676772774,0.038499522041239,0.193306377610785,0.406053876645582,-0.0432953824177012,-0.102398357266304,-0.1141634090885,-0.132266332160003,-0.116239248291784,-0.0963885860496721
"717_E3_10-14",-0.0479276827494245,-0.0452106215321028,-0.0686607210080484,0.128758879350537,0.0556887627131992,0.177424062746907,0.0104561837324706,-0.0615624177149011,0.0118394714916663,0.0106198602905943,0.105578852411226,-0.0863860712636533
"717_E3_30-34",-0.056379649635128,-0.0369116009110089,-0.0531924577389063,0.223251372708551,-0.101972962141517,-0.0365880656303731,-0.0882496136420714,-0.0417662468313407,-0.0739403883915695,0.180614505966839,-0.0416984508833159,-0.0928502802623739
