"","MEblue","MEgreen","MElightyellow","MEgrey60","MEturquoise","MEyellow","MEtan","MEcyan","MEmagenta","MElightgreen","MEpurple","MEbrown","MEred","MEmidnightblue","MEblack","MEpink","MEroyalblue","MEdarkred","MElightcyan","MEgreenyellow","MEsalmon","MEgrey"
"714_E1_30-34",0.0465868809259083,0.00726328801801341,-0.025704912477019,-0.0319680166924426,0.0949776223145093,-0.0263240784254281,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,0.00936062959561632,0.0360557282647723,0.0278729639831866,0.0135802560989305,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.00112026373697916,-0.0234622062750638,-0.000816872190694717,-0.0320464861210967,-0.0278079169299791,0.366870005138581
"714_E1_5-9",-0.00316902559763226,0.0929205535401702,-0.0248287088599001,-0.0224171556308433,0.175788128813548,-0.0315381251080835,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0417578055664349,-0.00657578392035439,-0.0450804946095002,-0.0185351339196547,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0132928048706617,-0.024455512936765,-0.00885379763227351,-0.0320464861210967,-0.0303514496774223,0.244415046281039
"714_E2_1-5",-0.0149611390026484,0.121114337735695,0.0283469749091012,-0.0163449341546704,0.0898153139978571,-0.0337126916527118,-0.0225863954672814,-0.0180890712149448,-0.0235050248967929,-0.0352855681618081,-0.0433730156978993,-0.0493821688102241,-0.0368635570091225,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.00832298821831014,-0.024455512936765,-0.000835230416298865,-0.0320464861210967,-0.0280243336896131,-0.0219483535850718
"714_E2_20-24",0.0035535020411515,0.00665970903962801,-0.025704912477019,0.000897365669209742,0.131866483686313,-0.0314929998685696,-0.0252318109964904,-0.0180890712149448,-0.0235050248967929,0.0181497502954696,0.0028075890878966,-0.0296733866042564,-0.0251150650718536,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0119863493650006,-0.024455512936765,-0.00313644864351048,-0.0320464861210967,-0.0298162254544796,0.0405598260315925
"714_E2_5-9",-0.0125420670942984,0.0415713554320818,-0.025704912477019,-0.0287915765530457,0.152206132746557,-0.0250559444777636,-0.0217817425388735,-0.0180890712149448,-0.0235050248967929,-0.00287528213165333,0.0252502333953078,-0.0338285483052293,-0.00376585536317038,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0122326658960026,-0.024455512936765,-0.0136084963551747,-0.0320464861210967,-0.0209010767171341,0.0653527055678543
"714_P1_20-24",-0.0260435536563595,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0481613592858948,-0.0350996884643977,-0.024309493791941,-0.0180890712149448,-0.0235050248967929,-0.0416067454038087,-0.0489751142262462,-0.0511148299183164,-0.0473974027866771,-0.026769470062751,-0.0237125027873208,-0.0314171621532781,0.0277438728341042,0.527143357092714,0.255157839179126,0.0439963543432977,0.0882583815576774,-0.0409353699974286
"714_P1_30-34",0.0565066938752477,-0.0238257722255507,-0.0243238608718317,-0.0372768076792773,-0.0377355892200904,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0343646386781996,-0.0375759057238216,-0.0487572642428738,-0.0382813907917641,-0.0306672178931631,-0.0237125027873208,-0.0314171621532781,0.138932456971759,0.0470301996796665,0.326044944380195,-0.0285400037830965,-0.0244739256210889,0.0702039107741105
"714_P1_40-44",0.0182287038856485,-0.0300831078343789,-0.025704912477019,-0.0372768076792773,-0.0433228461801609,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0398022616819134,-0.0463134505772195,-0.0491905235943525,-0.0473974027866771,-0.0266740163841878,-0.0237125027873208,-0.0314171621532781,0.1176119201591,0.101749119329054,0.468391544200315,-0.0302177219756688,-0.0181072748323366,-0.0211242689846194
"714_P3_30-34",-0.0276837499421227,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0481613592858948,-0.0294138060718538,-0.0176901139413685,-0.0180890712149448,-0.0213166684298879,-0.0443057636229855,-0.0494850301518041,-0.0483910163079776,-0.0420609503235657,0.0119934739289684,-0.0233775492617308,-0.02139165718242,-0.0220791520601361,-0.00743031676637557,-0.0219069717513423,0.201474569128291,0.0867088842009324,-0.0694465591369139
"714_P3_40-44",-0.0273006212844526,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0477968049881774,-0.0270844396330363,-0.0259950021397423,-0.0180890712149448,-0.0184982884983156,-0.025704373684282,-0.0485990962421393,-0.0351147426546511,-0.0436286485219025,-0.0201620233721218,-0.0232375614892895,-0.0273513857849403,0.0337249281121602,0.193633358419674,-0.00663092164506277,0.0358112410057542,0.313446990485894,-0.0409353699974286
"714_P3_50-54",-0.00536092838488626,-0.0398201532770315,-0.025704912477019,-0.0372768076792773,-0.045355800900341,-0.0246277683652079,-0.024595992137677,-0.01558270200704,-0.0202118072092675,0.00360530741797669,-0.0329432729527592,-0.0355306789337751,-0.0438751034913602,-0.0318866124066283,-0.0237125027873208,-0.030231476633081,0.457636522988749,0.171519699057053,0.0932782721219357,-0.0215175200241687,0.100495205686023,-0.0409353699974286
"714_P3_60-64",0.000348915193775991,-0.0402711863140056,-0.025704912477019,-0.0372768076792773,-0.0452370725221088,-0.0192474500360153,-0.0233202263074521,-0.016055002503925,-0.0180037203586469,-0.0147347952555521,-0.039872169771453,-0.0343289649827474,-0.0426864757707071,-0.0317729435952585,-0.0237125027873208,-0.0303329474451806,0.465174507858822,0.120091663624161,0.0832138543467898,-0.0161777821239706,0.0929038776350806,-0.0409353699974286
"714_P3_70-74",0.00231105143335616,-0.0399253792386832,-0.025704912477019,-0.0372768076792773,-0.0459264901752837,-0.0160242259380392,-0.0168157291740801,-0.0129265272558668,-0.00838674659591155,-0.040239470932654,-0.0403554169366441,-0.0157050546289891,-0.0286672979178583,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,0.354903340491741,0.0212601565331433,0.0274696170820692,-0.029288633878715,0.00209127766531982,-0.0409353699974286
