"","MEblue","MEgreen","MEmagenta","MEturquoise","MEbrown","MEblack","MEred","MEpurple","MEpink","MEyellow","MEgrey"
"714_S3_5-9",-0.11247470562969,-0.0689984373876735,0.0362009917081942,0.178694008388419,0.126015602473139,-0.0298736303088353,-0.00756203651365371,-0.0111768519451772,0.130369684279771,0.0474144376368668,0.0602594518270778
"715_S1_1-5",-0.189146511258859,-0.0777647807496532,0.187645293652739,0.0995372727975316,-0.0264185759022674,0.0703419589848577,-0.0252264167489029,-0.0130761007847298,0.216323222161474,0.206675740077662,-0.0654716055964981
"715_S1_10-14",-0.000436817578057192,-0.0317550077242424,-0.0459362957952641,0.0980489944433179,-0.0404223388249596,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0642508443926269,-0.0828739818855547
"715_S1_20-24",0.105650555110164,0.0235257379458816,-0.0576850898981704,-0.0705421765189747,-0.0417766502563475,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0693236600411008,-0.0669046104378449
"715_S1_30-34",0.055545627189181,0.0516343665233581,-0.0582290183810782,-0.134704680388027,-0.0425427177831919,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0701812618104818,-0.0532137555239104
"715_S2_10-14",-0.132945316965353,-0.073090159391206,0.0384515731018672,0.184435328418958,-0.0327235950156032,-0.044759170340888,-0.0313958319487849,-0.032987958217871,-0.0312523893599778,-0.00711764157771744,-0.0884690701023826
"715_S2_20-24",0.103038035241004,0.0307114495016956,-0.0519497528059059,-0.0246794779443254,-0.042403554360211,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0692741516470103,-0.108269578593818
"715_S2_30-34",0.0923699963088211,0.174564448587353,-0.0588815147393353,-0.125679639565278,-0.0427488871852976,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0701812618104818,-0.0641253931399112
"715_S3_20-24",0.132943156892268,0.0563792223751866,-0.0406054609532726,-0.0581162739375638,-0.0409951464580535,-0.0413472406569271,-0.0229593698626692,-0.0378149164278182,-0.049235283804204,-0.0591284485502065,-0.087152705707258
"715_S3_30-34",0.114815555121701,0.0842411299853341,-0.0360485399498346,-0.0724035134296319,-0.0411752472224733,-0.0383200237700288,-0.0196938976853272,-0.0362814859073116,-0.0455511054366303,-0.0593439730690695,-0.0723794264854355
