gene_id	gene_description	module	sheet	header	subheader	potential_amg
K00169	EMERGE	HPHB_DCHB_1	EMERGE	Emerge	acetyl-CoA+carbon dioxide->pyruvate	False
K00170	EMERGE	HPHB_DCHB_1	EMERGE	Emerge	acetyl-CoA+carbon dioxide->pyruvate	False
K00171	EMERGE	HPHB_DCHB_1	EMERGE	Emerge	acetyl-CoA+carbon dioxide->pyruvate	False
K00172	EMERGE	HPHB_DCHB_1	EMERGE	Emerge	acetyl-CoA+carbon dioxide->pyruvate	False
K00174	EMERGE	rTCA_6	EMERGE	Emerge	succinyl-CoA->2-oxoglutarate	False
K00175	EMERGE	rTCA_6	EMERGE	Emerge	succinyl-CoA->2-oxoglutarate	False
K00176	EMERGE	rTCA_6	EMERGE	Emerge	succinyl-CoA->2-oxoglutarate	False
K00177	EMERGE	rTCA_6	EMERGE	Emerge	succinyl-CoA->2-oxoglutarate	False
K00189	EMERGE	butanoate_fermentation_14	EMERGE	Emerge	pyruvate->acetyl-CoA	False
K00192	EMERGE	acetoclastic_methanogenesis_9	EMERGE	Emerge	cabon_monoxide->carbon_dioxide	False
K00193	EMERGE	acetoclastic_methanogenesis_4	EMERGE	Emerge	acetyl-CoA->5-methyl-H4MPT+carbon monoxide	False
K00194	EMERGE	Wood_Ljungdahl_11	EMERGE	Emerge	5_methyl_H4MPT->H4MPT+acetyl_CoA	False
K00195	EMERGE	acetoclastic_methanogenesis_9	EMERGE	Emerge	cabon_monoxide->carbon_dioxide	False
K00197	EMERGE	Wood_Ljungdahl_11	EMERGE	Emerge	5_methyl_H4MPT->H4MPT+acetyl_CoA	False
K00200	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K00201	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K00202	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K00203	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K00204	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K00205	EMERGE	Wood_Ljungdahl_3	EMERGE	Emerge	carbon dioxide+MFR->formyl-MFR	False
K00209	EMERGE	butanoate_fermentation_10	EMERGE	Emerge	crotonoyl-CoA->butanoyl-CoA	False
K00232	EMERGE	propionate_fermentation_13	EMERGE	Emerge	acryloyl-CoA->propionyl-CoA	False
K00244	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K00245	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K00246	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K00247	EMERGE	HPHB_DCHB_6	EMERGE	Emerge	fumarate->succinate	False
K00248	EMERGE	propionate_fermentation_13	EMERGE	Emerge	acryloyl-CoA->propionyl-CoA	False
K00281	EMERGE	reductive_glycine_4	EMERGE	Emerge	5,10_methylene_H4F+ammonium+carbon-dioxide->glycine	False
K00282	EMERGE	reductive_glycine_4	EMERGE	Emerge	5,10_methylene_H4F+ammonium+carbon-dioxide->glycine	False
K00283	EMERGE	reductive_glycine_4	EMERGE	Emerge	5,10_methylene_H4F+ammonium+carbon-dioxide->glycine	False
K00297	EMERGE	Wood_Ljungdahl_9	EMERGE	Emerge	5,10_methylene_H4F->5_methyl_H4F	False
K00319	EMERGE	Wood_Ljungdahl_8	EMERGE	Emerge	5,10_methenyl_H4MPT->5,10_methylene_H4MPT	False
K00320	EMERGE	Wood_Ljungdahl_10	EMERGE	Emerge	5,10_methylene_H4MPT->5_methyl_H4MPT	False
K00360	EMERGE	nitrogen_redox_16	EMERGE	Emerge	nitrate->nitrite	False
K00362	EMERGE	nitrogen_redox_17	EMERGE	Emerge	nitrite->ammonium	False
K00363	EMERGE	nitrogen_redox_17	EMERGE	Emerge	nitrite->ammonium	False
K00366	EMERGE	nitrogen_redox_17	EMERGE	Emerge	nitrite->ammonium	False
K00367	EMERGE	nitrogen_redox_16	EMERGE	Emerge	nitrate->nitrite	False
K00368	EMERGE	nitrogen_redox_3	EMERGE	Emerge	nitrite->nitric oxide	False
