"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.96_95.35_0.00" 1.5102471 0.9732608 0 0 0 0 0.39075458 5.6941905 0.116971724 0 0.19334942 0 0.5179168 0 0 2.1396387 1.3219528 0 0 0 0.38842183 0 0 0 0.71179503 0 0 0 0 3.0896032 0 0 0 0 1.155309 0.3504813 0 0 0.53378254 0 0 0 0.7669093 0 0 0.47458258 0 0 0 0.81191266 0 0 0 0.7435576 0.54446584 0 0 0.14174601 0 3.792153 0 0 0 0 0
"20110800_S3S_27" 7.4095306 0.11589269 0 0 0 0 10.50107 5.9086485 0.069289036 0 0.32638407 0 4.645311 0 0 10.652926 0.09824824 0 0 0 7.0204396 0 0 0 4.527919 0.7934955 0 0 0 6.407245 0 0 0 0 16.813982 0 0 0.8317542 2.4078753 0.77324086 0 0 2.9597213 0 0 0 0 0.08290806 0.23067588 8.872025 0 0 0 3.1717024 0 0 0 0 0 12.175728 0 0 0 1.7853132 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.18_85.86_3.07" 0.7481373 0 0 0 0 0 0.20202012 0.4328062 0 0 0 0 0.36992434 0 0 0.16933969 0 0 0 0 0.19557326 0 0 0 0.4506212 0 0 0 0 0.12103077 0 0 0 0 0.18974689 0 0 0.3772807 0.14171231 0 0 0 0.29701936 0 0 0 0 0 0 0.3920595 0 0 0 0 0 0 0 0 0 0.43097103 0 0 0 0.09111553 0
"Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62" 8.943969 0.14144266 0 0 0 0 1.7778536 10.209556 0.082061775 0 0.09162868 0 3.2717493 0 0 4.8161926 0.123339616 0 0 0 1.6978687 0 0 0 3.4409328 0 0 0 0 1.3556153 0 0 0 0 1.6342026 0.09742847 0 6.300101 1.8719751 0.11701756 0 0 1.2170764 0 0 0 0 0 0 10.383143 0 0 0 2.5654392 0 0 0 0.45491442 0 3.26795 0 0 0 3.1719441 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.157_96.49_2.63" 1.4119213 0.07018487 0 0 0 0 0.06267303 0.7135715 0.07545816 0 0 0 0.37853202 0 0 2.5414267 0.31802198 0 0 0 0.16910282 0 0 0 0.29664162 0 0 0 0 0.27804363 0 0 0 0 0.32482326 0 0 0.22999595 0.13465971 0.5436752 0 0 0.25144115 0 0 0.086509444 0 0 0 0.2782667 0 0 0 1.525042 0.09605196 0 0 0.110058405 0 1.3874037 0 0 0 0.6021196 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.399_80.28_6.52" 0.92043626 2.5838103 0 0 0 0 0.20481528 2.4626653 0.10971135 0 0.41692477 0 0.47858617 0 0 3.9494588 3.1583319 0 0 0 2.134434 0 0 0 2.260221 1.2349873 0.19390722 0 0 2.1972733 0.28917915 0 0 0 5.3879914 1.6565967 0 0.24906327 0.9339195 1.6736504 0 0 2.7710745 0 0 2.0584347 0 0.05594915 0.15461843 1.9919478 0 0 0 0.16923827 1.0927583 0.110696584 0 1.4185579 0 5.069757 0 0 0 1.5718371 0
"Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.122_90.43_7.26" 0.14393723 0 0 0 0 0 0.086101584 0 0 0 0 0 0 0 0 0.061005358 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08379533 0 0 0 0 0.06331789 0 0 0 0.12777929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20259546 0 0 0 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.122_92.03_1.72" 0.19424732 0.23110321 0 0 0 0 0.29311645 1.2576915 0.17715095 0 0.13023913 0 0.13900077 0 0 3.0401592 0.1894185 0 0 0 1.890454 0 0 0 0.45828474 0 0 0 0 2.0585349 0 0 0 0 2.45071 0.07072186 0 0 1.5518427 0.16787381 0 0 0.6400166 0 0 0 0 0 0 1.2349283 0 0 0 0 0 0 0 0 0 0.8881823 0 0 0 1.0549029 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.114_88.45_5.80" 2.3070276 0 0 0 0 0 0.19146167 0.86525774 0 0 0 0 0.18227357 0 0 1.8445158 0 0 0 0 1.8953702 0 0 0 0.24179144 0 0 0 0 0.62105787 0 0 0 0 0.7107452 0 0 0 0 0 0 0 0.22864601 0 0 0 0 0 0 0.99157166 0 0 0 0 0 0 0 0 0 3.5945714 0 0 0 0 0
"Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.36_70.45_7.93" 0.19103058 0.6693546 0.44373676 0.07812695 0 0.47224385 0.349206 1.4346926 0.8332857 0 0.33991843 0 0.73078287 0.49870378 0 0.87854683 0.680101 0.4671124 0.08645601 0 1.6094819 0.13566011 0.07630055 0 1.9259968 0.30846637 0.19893129 0.29157326 0.18515603 1.4094046 0.08792793 0.18488829 0 0 0.6417067 0.45791072 0.19287853 0.2866505 1.0647742 0.5892678 0.22229435 0 0.7738573 0 0 0.2774919 0 0.10908016 0.11147563 1.3029679 0.29448715 0.21887487 0.10595585 0.13503788 1.0886475 0.5305727 0 0.962801 0 0.28485292 0.7020142 0.3870642 0 1.6332763 0.1311576
"20110800_S3S_25" 12.932894 0 0 0 0 0 4.6053786 5.936257 0 0 0.105317615 0 2.3982341 0 0 2.651 0.09470057 0 0 0 6.5218687 0 0 0 7.3082843 0.3167299 0 0 0 3.8996847 0 0 0 0 2.4770296 0 0 1.2478544 0.5440689 0 0 0 3.2293143 0 0 0 0 0.097121134 0.26733986 1.5422939 0 0 0 3.687745 0 0.117293365 0 0.83979625 0 2.7071097 0 0 0 2.4364185 0
"Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.35_75.21_2.71" 0.8624881 0 0 0 0 0 0.67370933 1.270581 0 0 0 0 1.6793984 0 0 0.8409107 0 0 0 0 8.757818 0 0 0 1.1341244 0 0 0 0 0.49806923 0 0 0 0 2.0895252 0 0 0.49107945 0.05913601 0 0 0 0.14029053 0 0 0 0 0 0 0.3435326 0 0 0 0.12067676 0 0 0 0 0 1.7869859 0 0 0 0.21788436 0
"Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.86_71.87_2.22" 0.663386 0 0 0 0 0 0 1.1243867 0 0 0 0 1.5353981 0 0 0.45335257 0 0 0 0 2.7547503 0 0 0 0.7633174 0 0 0 0 0.5710192 0 0 0 0 1.3306712 0 0 1.1011567 0.08929755 0 0 0 0.5091112 0 0 0 0 0 0 0.42688197 0 0 0 0 0 0 0 0 0 2.67188 0 0 0 0.47066718 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.339_96.94_3.52" 0.13055591 0.58820075 0 0 0 0 0.30545244 4.8009386 1.2006025 0 0.18474454 0 0.21149828 0 0 1.4901637 1.4373925 0 0 0 1.0833763 0 0 0 0.74618214 0.11830874 0 0 0 1.5971009 0.20374031 0.075453505 0 0 1.7399992 0.069525816 0 0.089766756 0.3740417 0 0 0 1.0870651 0 0 0.19904171 0 0 0 1.5462887 0 0 0 0 0 0 0 0.20969273 0 2.791944 0.10045633 0 0 0.9250659 0
