genome,anaerobe
20110800_E2S_9,FALSE
20110800_E3D_1,TRUE
20110800_E3D_10,TRUE
20110800_E3D_11,TRUE
20110800_E3D_12,TRUE
20110800_E3D_13,TRUE
20110800_E3D_14,FALSE
20110800_E3D_15,TRUE
20110800_E3D_16,TRUE
20110800_E3D_17,FALSE
20110800_E3D_18,TRUE
20110800_E3D_19,TRUE
20110800_E3D_2,TRUE
20110800_E3D_20,TRUE
20110800_E3D_21,FALSE
20110800_E3D_22,FALSE
20110800_E3D_23,TRUE
20110800_E3D_24,TRUE
20110800_E3D_25,TRUE
20110800_E3D_26,TRUE
20110800_E3D_27,TRUE
20110800_E3D_28,TRUE
20110800_E3D_29,TRUE
20110800_E3D_3,TRUE
20110800_E3D_30,FALSE
20110800_E3D_31,FALSE
20110800_E3D_32,TRUE
20110800_E3D_33,TRUE
20110800_E3D_34,TRUE
20110800_E3D_35,TRUE
20110800_E3D_36,TRUE
20110800_E3D_37,TRUE
20110800_E3D_38,TRUE
20110800_E3D_39,FALSE
20110800_E3D_4,FALSE
20110800_E3D_40,TRUE
20110800_E3D_41,TRUE
20110800_E3D_5,TRUE
20110800_E3D_6,TRUE
20110800_E3D_7,TRUE
20110800_E3D_8,TRUE
20110800_E3D_9,TRUE
20110800_E3M_1,TRUE
20110800_E3M_2,FALSE
20110800_E3M_3,TRUE
20110800_E3M_4,TRUE
20110800_E3M_5,TRUE
20110800_E3M_6,TRUE
20110800_E3S_1,FALSE
20110800_E3S_2,TRUE
20110800_E3S_3,TRUE
20110800_P1D_1,FALSE
20110800_P1D_10,TRUE
20110800_P1D_11,FALSE
20110800_P1D_12,TRUE
20110800_P1D_13,TRUE
20110800_P1D_14,TRUE
20110800_P1D_15,FALSE
20110800_P1D_16,TRUE
20110800_P1D_17,TRUE
20110800_P1D_18,TRUE
20110800_P1D_19,TRUE
20110800_P1D_2,FALSE
20110800_P1D_20,FALSE
20110800_P1D_21,TRUE
20110800_P1D_22,TRUE
20110800_P1D_23,TRUE
20110800_P1D_24,TRUE
20110800_P1D_25,FALSE
20110800_P1D_26,TRUE
20110800_P1D_27,FALSE
20110800_P1D_28,TRUE
20110800_P1D_29,TRUE
20110800_P1D_3,TRUE
20110800_P1D_30,TRUE
20110800_P1D_31,TRUE
20110800_P1D_32,TRUE
20110800_P1D_33,TRUE
20110800_P1D_34,TRUE
20110800_P1D_35,FALSE
20110800_P1D_36,FALSE
20110800_P1D_37,TRUE
20110800_P1D_38,TRUE
20110800_P1D_39,TRUE
20110800_P1D_4,TRUE
20110800_P1D_5,TRUE
20110800_P1D_6,TRUE
20110800_P1D_7,TRUE
20110800_P1D_8,TRUE
20110800_P1D_9,FALSE
20110800_P1M_1,TRUE
20110800_P1M_10,TRUE
20110800_P1M_11,TRUE
20110800_P1M_12,TRUE
20110800_P1M_13,TRUE
20110800_P1M_14,TRUE
20110800_P1M_15,TRUE
20110800_P1M_16,TRUE
20110800_P1M_17,FALSE
20110800_P1M_18,TRUE
20110800_P1M_19,TRUE
20110800_P1M_2,TRUE
20110800_P1M_20,TRUE
20110800_P1M_21,TRUE
20110800_P1M_22,FALSE
20110800_P1M_23,FALSE
20110800_P1M_24,TRUE
20110800_P1M_25,FALSE
20110800_P1M_26,TRUE
20110800_P1M_27,TRUE
20110800_P1M_28,FALSE
20110800_P1M_29,FALSE
20110800_P1M_3,FALSE
20110800_P1M_30,FALSE
20110800_P1M_31,FALSE
20110800_P1M_4,FALSE
20110800_P1M_5,FALSE
20110800_P1M_6,FALSE
20110800_P1M_7,TRUE
20110800_P1M_8,FALSE
20110800_P1M_9,TRUE
20110800_P1S_1,TRUE
20110800_P1S_2,FALSE
20110800_P1S_3,FALSE
20110800_P1S_4,TRUE
20110800_P1S_5,TRUE
20110800_P2D_1,TRUE
20110800_P2D_10,TRUE
20110800_P2D_11,TRUE
20110800_P2D_12,TRUE
20110800_P2D_13,TRUE
20110800_P2D_14,TRUE
20110800_P2D_15,FALSE
20110800_P2D_16,TRUE
20110800_P2D_17,TRUE
20110800_P2D_2,FALSE
20110800_P2D_3,TRUE
20110800_P2D_4,FALSE
20110800_P2D_5,TRUE
20110800_P2D_6,TRUE
20110800_P2D_7,FALSE
20110800_P2D_8,TRUE
20110800_P2D_9,TRUE
20110800_P3M_1,TRUE
20110800_P3M_10,FALSE
20110800_P3M_11,TRUE
20110800_P3M_12,TRUE
20110800_P3M_13,FALSE
20110800_P3M_14,FALSE
20110800_P3M_15,TRUE
20110800_P3M_16,FALSE
20110800_P3M_17,TRUE
20110800_P3M_18,TRUE
20110800_P3M_2,TRUE
20110800_P3M_3,TRUE
20110800_P3M_4,TRUE
20110800_P3M_5,TRUE
20110800_P3M_6,FALSE
20110800_P3M_7,TRUE
20110800_P3M_8,TRUE
20110800_P3M_9,FALSE
20110800_P3S_1,TRUE
20110800_P3S_2,TRUE
20110800_P3S_3,TRUE
20110800_P3S_4,TRUE
20110800_P3S_5,TRUE
20110800_P3S_6,FALSE
20110800_P3S_7,FALSE
20110800_P3S_8,TRUE
20110800_P3S_9,TRUE
20110800_S1D_1,TRUE
20110800_S1D_10,TRUE
20110800_S1D_11,TRUE
20110800_S1D_12,FALSE
20110800_S1D_13,TRUE
20110800_S1D_14,TRUE
20110800_S1D_15,TRUE
20110800_S1D_16,TRUE
20110800_S1D_2,TRUE
20110800_S1D_3,TRUE
20110800_S1D_4,TRUE
20110800_S1D_5,TRUE
20110800_S1D_6,TRUE
20110800_S1D_7,TRUE
20110800_S1D_8,TRUE
20110800_S1D_9,TRUE
20110800_S1M_1,TRUE
20110800_S1M_10,TRUE
20110800_S1M_11,TRUE
20110800_S1M_12,TRUE
20110800_S1M_13,TRUE
20110800_S1M_14,TRUE
20110800_S1M_15,TRUE
20110800_S1M_16,TRUE
20110800_S1M_17,TRUE
20110800_S1M_18,TRUE
20110800_S1M_19,TRUE
20110800_S1M_2,TRUE
20110800_S1M_20,FALSE
20110800_S1M_21,FALSE
20110800_S1M_22,TRUE
20110800_S1M_23,TRUE
20110800_S1M_24,TRUE
20110800_S1M_25,TRUE
20110800_S1M_26,TRUE
20110800_S1M_27,TRUE
20110800_S1M_28,FALSE
20110800_S1M_29,TRUE
20110800_S1M_3,TRUE
20110800_S1M_30,TRUE
20110800_S1M_31,TRUE
20110800_S1M_32,TRUE
20110800_S1M_4,TRUE
20110800_S1M_5,TRUE
20110800_S1M_6,TRUE
20110800_S1M_7,TRUE
20110800_S1M_8,TRUE
20110800_S1M_9,TRUE
20110800_S1S_1,TRUE
20110800_S1S_10,TRUE
20110800_S1S_11,TRUE
20110800_S1S_12,FALSE
20110800_S1S_13,TRUE
20110800_S1S_14,TRUE
20110800_S1S_15,TRUE
20110800_S1S_16,TRUE
20110800_S1S_17,FALSE
20110800_S1S_18,TRUE
20110800_S1S_2,TRUE
20110800_S1S_3,TRUE
20110800_S1S_4,TRUE
20110800_S1S_5,TRUE
20110800_S1S_6,TRUE
20110800_S1S_7,TRUE
20110800_S1S_8,TRUE
20110800_S1S_9,TRUE
20110800_S2D_1,TRUE
20110800_S2D_10,TRUE
20110800_S2D_11,TRUE
20110800_S2D_12,FALSE
20110800_S2D_13,TRUE
20110800_S2D_14,FALSE
20110800_S2D_15,TRUE
20110800_S2D_16,TRUE
20110800_S2D_2,TRUE
20110800_S2D_3,TRUE
20110800_S2D_4,TRUE
20110800_S2D_5,TRUE
20110800_S2D_6,TRUE
20110800_S2D_7,TRUE
20110800_S2D_8,TRUE
20110800_S2D_9,TRUE
20110800_S2M_1,TRUE
20110800_S2M_10,FALSE
20110800_S2M_11,TRUE
20110800_S2M_12,TRUE
20110800_S2M_13,TRUE
20110800_S2M_14,FALSE
20110800_S2M_15,TRUE
20110800_S2M_16,TRUE
20110800_S2M_17,FALSE
20110800_S2M_2,TRUE
20110800_S2M_3,TRUE
20110800_S2M_4,FALSE
20110800_S2M_5,TRUE
20110800_S2M_6,TRUE
20110800_S2M_7,TRUE
20110800_S2M_8,TRUE
20110800_S2M_9,TRUE
20110800_S2S_1,TRUE
20110800_S2S_2,TRUE
20110800_S2S_3,FALSE
20110800_S2S_4,TRUE
20110800_S2S_5,TRUE
20110800_S2S_6,FALSE
20110800_S3D_1,TRUE
20110800_S3D_10,TRUE
20110800_S3D_11,TRUE
20110800_S3D_12,FALSE
20110800_S3D_13,TRUE
20110800_S3D_14,TRUE
20110800_S3D_15,TRUE
20110800_S3D_16,TRUE
20110800_S3D_17,TRUE
20110800_S3D_18,TRUE
20110800_S3D_19,TRUE
20110800_S3D_2,TRUE
20110800_S3D_20,TRUE
