genome,slp,etc,aerobic
20110700_S2D_4,3,2,FALSE
20110700_S2D_5,3,5,TRUE
20110700_S2D_6,2,5,TRUE
20110700_S2D_7,1,1,FALSE
20110700_S2D_8,3,4,TRUE
20110700_S2D_9,3,3,TRUE
20110700_S2M_1,3,2,FALSE
20110700_S2M_10,1,1,FALSE
20110700_S2M_11,4,5,TRUE
20110700_S2M_12,3,4,TRUE
20110700_S2M_13,3,5,TRUE
20110700_S2M_14,3,4,TRUE
20110700_S2M_15,3,4,TRUE
20110700_S2M_16,3,5,TRUE
20110700_S2M_17,4,4,TRUE
20110700_S2M_2,4,5,TRUE
20110700_S2M_3,3,4,TRUE
20110700_S2M_4,4,4,TRUE
20110700_S2M_5,3,4,TRUE
20110700_S2M_6,4,5,TRUE
20110700_S2M_7,2,1,FALSE
20110700_S2M_8,3,3,TRUE
20110700_S2M_9,4,5,TRUE
20110700_S3M_1,3,4,TRUE
20110700_S3M_10,4,4,TRUE
20110700_S3M_11,4,5,TRUE
20110700_S3M_12,4,5,TRUE
20110700_S3M_13,3,5,TRUE
20110700_S3M_14,3,4,TRUE
20110700_S3M_15,4,5,TRUE
20110700_S3M_16,3,5,TRUE
20110700_S3M_17,3,4,TRUE
20110700_S3M_18,3,4,TRUE
20110700_S3M_19,4,5,TRUE
20110700_S3M_2,4,5,TRUE
20110700_S3M_20,4,4,TRUE
20110700_S3M_21,4,4,TRUE
20110700_S3M_22,4,5,TRUE
20110700_S3M_23,3,3,TRUE
20110700_S3M_24,3,5,TRUE
20110700_S3M_25,4,4,TRUE
20110700_S3M_26,4,4,TRUE
20110700_S3M_27,3,4,TRUE
20110700_S3M_28,4,5,TRUE
20110700_S3M_29,3,4,TRUE
20110700_S3M_3,3,3,TRUE
20110700_S3M_30,3,5,TRUE
20110700_S3M_31,4,4,TRUE
20110700_S3M_32,3,5,TRUE
20110700_S3M_4,4,5,TRUE
20110700_S3M_5,3,5,TRUE
20110700_S3M_6,4,4,TRUE
20110700_S3M_7,3,4,TRUE
20110700_S3M_8,2,3,TRUE
20110700_S3M_9,3,3,TRUE
20110800_E1D_1,3,3,TRUE
20110800_E1D_10,4,5,TRUE
20110800_E1D_11,3,5,TRUE
20110800_E1D_12,4,5,TRUE
20110800_E1D_13,2,3,TRUE
20110800_E1D_14,4,5,TRUE
20110800_E1D_15,4,4,TRUE
20110800_E1D_16,1,1,FALSE
20110800_E1D_17,4,5,TRUE
20110800_E1D_18,3,5,TRUE
20110800_E1D_19,4,5,TRUE
20110800_E1D_2,3,5,TRUE
20110800_E1D_20,4,4,TRUE
20110800_E1D_21,4,4,TRUE
20110800_E1D_22,4,5,TRUE
20110800_E1D_3,4,5,TRUE
20110800_E1D_4,2,4,TRUE
20110800_E1D_5,3,5,TRUE
20110800_E1D_6,2,5,TRUE
20110800_E1D_7,4,4,TRUE
20110800_E1D_8,4,4,TRUE
20110800_E1D_9,3,4,TRUE
20110800_E1M_1,2,1,FALSE
20110800_E1M_2,0,1,FALSE
20110800_E1M_3,4,4,TRUE
20110800_E1M_4,1,1,FALSE
20110800_E1M_5,2,5,TRUE
20110800_E1M_6,3,5,TRUE
20110800_E1S_1,1,1,FALSE
20110800_E1S_2,3,4,TRUE
20110800_E1S_3,3,4,TRUE
20110800_E1S_4,0,1,FALSE
20110800_E1S_5,2,1,FALSE
20110800_E1S_6,0,1,FALSE
20110800_E1S_7,3,4,TRUE
20110800_E1S_8,3,4,TRUE
20110800_E2D_1,4,4,TRUE
20110800_E2D_10,4,5,TRUE
20110800_E2D_11,4,4,TRUE
20110800_E2D_12,2,1,FALSE
20110800_E2D_13,1,2,FALSE
20110800_E2D_14,3,5,TRUE
20110800_E2D_15,3,4,TRUE
20110800_E2D_16,1,1,FALSE
20110800_E2D_17,4,5,TRUE
20110800_E2D_18,0,4,FALSE
20110800_E2D_19,4,2,FALSE
20110800_E2D_2,4,4,TRUE
20110800_E2D_20,3,5,TRUE
20110800_E2D_21,1,1,FALSE
20110800_E2D_22,3,5,TRUE
20110800_E2D_23,3,5,TRUE
20110800_E2D_24,4,5,TRUE
20110800_E2D_25,3,5,TRUE
20110800_E2D_26,2,1,FALSE
20110800_E2D_27,4,4,TRUE
20110800_E2D_28,4,5,TRUE
20110800_E2D_29,3,5,TRUE
20110800_E2D_3,4,2,FALSE
20110800_E2D_30,2,4,TRUE
20110800_E2D_31,4,5,TRUE
20110800_E2D_32,3,4,TRUE
20110800_E2D_33,3,5,TRUE
20110800_E2D_34,4,4,TRUE
20110800_E2D_35,3,4,TRUE
20110800_E2D_4,3,4,TRUE
20110800_E2D_5,4,5,TRUE
20110800_E2D_6,3,4,TRUE
20110800_E2D_7,2,2,FALSE
20110800_E2D_8,3,5,TRUE
20110800_E2D_9,4,4,TRUE
20110800_E2M_1,2,3,TRUE
20110800_E2M_10,4,5,TRUE
20110800_E2M_11,1,1,FALSE
20110800_E2M_12,1,0,FALSE
20110800_E2M_13,3,5,TRUE
20110800_E2M_14,3,5,TRUE
20110800_E2M_15,3,5,TRUE
20110800_E2M_16,3,5,TRUE
20110800_E2M_17,4,5,TRUE
20110800_E2M_18,4,4,TRUE
20110800_E2M_2,2,5,TRUE
20110800_E2M_3,2,2,FALSE
20110800_E2M_4,2,5,TRUE
20110800_E2M_5,3,4,TRUE
20110800_E2M_6,4,4,TRUE
20110800_E2M_7,1,1,FALSE
20110800_E2M_8,4,3,TRUE
20110800_E2M_9,0,1,FALSE
20110800_E2S_1,4,5,TRUE
20110800_E2S_10,4,5,TRUE
20110800_E2S_11,2,1,FALSE
20110800_E2S_12,3,5,TRUE
20110800_E2S_2,4,5,TRUE
20110800_E2S_3,4,4,TRUE
20110800_E2S_4,2,4,TRUE
20110800_E2S_5,2,4,TRUE
20110800_E2S_6,4,4,TRUE
20110800_E2S_7,1,1,FALSE
20110800_E2S_9,1,1,FALSE
20110800_E3D_1,1,4,TRUE
20110800_E3D_10,3,1,FALSE
20110800_E3D_11,1,1,FALSE
20110800_E3D_12,4,5,TRUE
20110800_E3D_13,4,4,TRUE
20110800_E3D_14,4,5,TRUE
20110800_E3D_15,3,5,TRUE
20110800_E3D_16,4,4,TRUE
20110800_E3D_17,3,4,TRUE
